,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,TMC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
35,4,thomas-more,Thomas More,Centre,79-80,79,80,"30, 39, 10, 79","32, 37, 11, 80",30,39,10,79,32,37,11,80,3-1,1-0,11/22/11,Lose,215,No Location Recorded,7 p.m.,H,35,15:41,"MISS LAYUP by BURGOYNE,JENNY",,,,,,,"MISS LAYUP by BURGOYNE,JENNY",1,layup,missed,thomas more,jenny burgoyne,,941
36,4,thomas-more,Thomas More,Centre,79-80,79,80,"30, 39, 10, 79","32, 37, 11, 80",30,39,10,79,32,37,11,80,3-1,1-0,11/22/11,Lose,215,No Location Recorded,7 p.m.,H,36,--,,,,,"REBOUND DEF by BAECHLE,PAIGE",,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
37,4,thomas-more,Thomas More,Centre,79-80,79,80,"30, 39, 10, 79","32, 37, 11, 80",30,39,10,79,32,37,11,80,3-1,1-0,11/22/11,Lose,215,No Location Recorded,7 p.m.,H,37,15:36,,,,,"SUB IN by GOATLEY,JANE",,,"SUB IN by GOATLEY,JANE",1,subbing in,,Centre,jane goatley,,936
38,4,thomas-more,Thomas More,Centre,79-80,79,80,"30, 39, 10, 79","32, 37, 11, 80",30,39,10,79,32,37,11,80,3-1,1-0,11/22/11,Lose,215,No Location Recorded,7 p.m.,H,38,15:36,,,,,"SUB OUT by WINSTEAD,BRIDGET",,,"SUB OUT by WINSTEAD,BRIDGET",1,subbing out,,Centre,bridget winstead,,936
39,4,thomas-more,Thomas More,Centre,79-80,79,80,"30, 39, 10, 79","32, 37, 11, 80",30,39,10,79,32,37,11,80,3-1,1-0,11/22/11,Lose,215,No Location Recorded,7 p.m.,H,39,15:19,,6,,8 (+2),"GOOD 3PTR by BURKE,ALYSON",CENTRE_W 6-8 (+2),,"GOOD 3PTR by BURKE,ALYSON",1,three pointer,good,Centre,alyson burke,3,919
40,4,thomas-more,Thomas More,Centre,79-80,79,80,"30, 39, 10, 79","32, 37, 11, 80",30,39,10,79,32,37,11,80,3-1,1-0,11/22/11,Lose,215,No Location Recorded,7 p.m.,H,40,--,,,,,"ASSIST  by BAECHLE,PAIGE",,,"ASSIST  by BAECHLE,PAIGE",1,assist,,Centre,paige baechle,,
41,4,thomas-more,Thomas More,Centre,79-80,79,80,"30, 39, 10, 79","32, 37, 11, 80",30,39,10,79,32,37,11,80,3-1,1-0,11/22/11,Lose,215,No Location Recorded,7 p.m.,H,41,15:03,"TURNOVER  by LONG,ALLISON",,,,,,,"TURNOVER  by LONG,ALLISON",1,turnover,,thomas more,allison long,,903
42,4,thomas-more,Thomas More,Centre,79-80,79,80,"30, 39, 10, 79","32, 37, 11, 80",30,39,10,79,32,37,11,80,3-1,1-0,11/22/11,Lose,215,No Location Recorded,7 p.m.,H,42,15:01,,,,,"STEAL  by GOATLEY,JANE",,,"STEAL  by GOATLEY,JANE",1,steal,,Centre,,,901
43,4,thomas-more,Thomas More,Centre,79-80,79,80,"30, 39, 10, 79","32, 37, 11, 80",30,39,10,79,32,37,11,80,3-1,1-0,11/22/11,Lose,215,No Location Recorded,7 p.m.,H,43,14:45,,,,,"MISS JUMPER by PREWITT,MAGGIE",,,"MISS JUMPER by PREWITT,MAGGIE",1,jumper,missed,Centre,maggie prewitt,,885
44,4,thomas-more,Thomas More,Centre,79-80,79,80,"30, 39, 10, 79","32, 37, 11, 80",30,39,10,79,32,37,11,80,3-1,1-0,11/22/11,Lose,215,No Location Recorded,7 p.m.,H,44,--,,,,,"REBOUND OFF by BAECHLE,PAIGE",,,"REBOUND OFF by BAECHLE,PAIGE",1,offensive rebound,,Centre,paige baechle,,
45,4,thomas-more,Thomas More,Centre,79-80,79,80,"30, 39, 10, 79","32, 37, 11, 80",30,39,10,79,32,37,11,80,3-1,1-0,11/22/11,Lose,215,No Location Recorded,7 p.m.,H,45,14:37,,,,,"TURNOVER  by BAECHLE,PAIGE",,,"TURNOVER  by BAECHLE,PAIGE",1,turnover,,Centre,paige baechle,,877
46,4,thomas-more,Thomas More,Centre,79-80,79,80,"30, 39, 10, 79","32, 37, 11, 80",30,39,10,79,32,37,11,80,3-1,1-0,11/22/11,Lose,215,No Location Recorded,7 p.m.,H,46,14:34,"STEAL  by KITCHEN,KATIE",,,,,,,"STEAL  by KITCHEN,KATIE",1,steal,,thomas more,,,874
47,4,thomas-more,Thomas More,Centre,79-80,79,80,"30, 39, 10, 79","32, 37, 11, 80",30,39,10,79,32,37,11,80,3-1,1-0,11/22/11,Lose,215,No Location Recorded,7 p.m.,H,47,14:31,"MISS 3PTR by LONG,ALLISON",,,,,,,"MISS 3PTR by LONG,ALLISON",1,three pointer,missed,thomas more,allison long,,871
48,4,thomas-more,Thomas More,Centre,79-80,79,80,"30, 39, 10, 79","32, 37, 11, 80",30,39,10,79,32,37,11,80,3-1,1-0,11/22/11,Lose,215,No Location Recorded,7 p.m.,H,48,--,,,,,"REBOUND DEF by BAECHLE,PAIGE",,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
49,4,thomas-more,Thomas More,Centre,79-80,79,80,"30, 39, 10, 79","32, 37, 11, 80",30,39,10,79,32,37,11,80,3-1,1-0,11/22/11,Lose,215,No Location Recorded,7 p.m.,H,49,14:22,"FOUL  by COREY,MORIAH",,,,,,,"FOUL  by COREY,MORIAH",1,foul,,thomas more,moriah corey,,862
50,4,thomas-more,Thomas More,Centre,79-80,79,80,"30, 39, 10, 79","32, 37, 11, 80",30,39,10,79,32,37,11,80,3-1,1-0,11/22/11,Lose,215,No Location Recorded,7 p.m.,H,50,14:17,,,,,"MISS FT by WEST,CAILYNN",,,"MISS FT by WEST,CAILYNN",1,free throw,missed,Centre,cailynn west,,857
