,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,SUW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
26,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,26,16:36,"FOUL  by OWENS,JORDAN",,,,,,,"FOUL  by OWENS,JORDAN",1,foul,,southwestern univ.,jordan owens,,996
27,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,27,16:36,,4 (+3),,1,"GOOD FT by BENHAM,CHELSEA",CENTRE_W 4-1 (-3),,"GOOD FT by BENHAM,CHELSEA",1,free throw,good,Centre,chelsea benham,1,996
28,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,28,16:36,,4 (+2),,2,"GOOD FT by BENHAM,CHELSEA",CENTRE_W 4-2 (-2),,"GOOD FT by BENHAM,CHELSEA",1,free throw,good,Centre,chelsea benham,1,996
29,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,29,16:21,"GOOD LAYUP by LEEDER,CHELSEA(in the paint)",6 (+4),,2,,SUW 6-2 (-4),,"GOOD LAYUP by LEEDER,CHELSEA(in the paint)",1,layup,good,southwestern univ.,chelsea leeder,2,981
30,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,30,16:03,,6 (+2),,4,"GOOD LAYUP by BENHAM,CHELSEA(in the paint)",CENTRE_W 6-4 (-2),,"GOOD LAYUP by BENHAM,CHELSEA(in the paint)",1,layup,good,Centre,chelsea benham,2,963
31,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,31,15:45,"MISS LAYUP by BOURNE,ANNIE",,,,,,,"MISS LAYUP by BOURNE,ANNIE",1,layup,missed,southwestern univ.,annie bourne,,945
32,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,32,--,,,,,"REBOUND DEF by PREWITT,MAGGIE",,,"REBOUND DEF by PREWITT,MAGGIE",1,defensive rebound,,Centre,maggie prewitt,,
33,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,33,15:34,,6,,6,"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",CENTRE_W 6-6 (0),,"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",1,layup,good,Centre,paige baechle,2,934
34,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,34,--,,,,,"ASSIST  by PREWITT,MAGGIE",,,"ASSIST  by PREWITT,MAGGIE",1,assist,,Centre,maggie prewitt,,
35,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,35,15:16,"GOOD LAYUP by OWENS,JORDAN(in the paint)",8 (+2),,6,,SUW 8-6 (-2),,"GOOD LAYUP by OWENS,JORDAN(in the paint)",1,layup,good,southwestern univ.,jordan owens,2,916
