,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,opponentScorePeriod1,opponentScorePeriod2,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
27,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,27,17:20,,,,,"SUB IN by WEST,CAILYNN",,,"SUB IN by WEST,CAILYNN",1,subbing in,,Centre,cailynn west,,1040
28,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,28,17:20,,,,,"SUB OUT by HUTER,LAUREN",,,"SUB OUT by HUTER,LAUREN",1,subbing out,,Centre,lauren huter,,1040
29,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,29,17:10,"MISS 3PTR by JOHNSON,VELVET",,,,,,,"MISS 3PTR by JOHNSON,VELVET",1,three pointer,missed,millsaps,velvet johnson,,1030
30,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,30,--,,,,,"REBOUND DEF by WINSTEAD,BRIDGET",,,"REBOUND DEF by WINSTEAD,BRIDGET",1,defensive rebound,,Centre,bridget winstead,,
31,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,31,17:01,,2,,6 (+4),"GOOD JUMPER by PREWITT,MAGGIE",CENTRE 2-6 (+4),,"GOOD JUMPER by PREWITT,MAGGIE",1,jumper,good,Centre,maggie prewitt,2,1021
32,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,32,16:51,"GOOD LAYUP by OKEKE,JANICE(in the paint)",4,,6 (+2),,MC 4-6 (+2),,"GOOD LAYUP by OKEKE,JANICE(in the paint)",1,layup,good,millsaps,janice okeke,2,1011
33,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,33,--,"ASSIST  by LOVE,LOVIE",,,,,,,"ASSIST  by LOVE,LOVIE",1,assist,,millsaps,lovie love,,
34,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,34,16:30,,,,,"MISS 3PTR by BURKE,ALYSON",,,"MISS 3PTR by BURKE,ALYSON",1,three pointer,missed,Centre,alyson burke,,990
35,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,35,--,"REBOUND DEF by WHITE,SHATOYA",,,,,,,"REBOUND DEF by WHITE,SHATOYA",1,defensive rebound,,millsaps,shatoya white,,
36,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,36,16:22,"TURNOVER  by WHITE,SHATOYA",,,,,,,"TURNOVER  by WHITE,SHATOYA",1,turnover,,millsaps,shatoya white,,982
37,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,37,16:20,,,,,"STEAL  by PREWITT,MAGGIE",,,"STEAL  by PREWITT,MAGGIE",1,steal,,Centre,,,980
38,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,38,16:03,,,,,"MISS 3PTR by WINSTEAD,BRIDGET",,,"MISS 3PTR by WINSTEAD,BRIDGET",1,three pointer,missed,Centre,bridget winstead,,963
39,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,39,--,"REBOUND DEF by MORTON,SHANTE",,,,,,,"REBOUND DEF by MORTON,SHANTE",1,defensive rebound,,millsaps,shante morton,,
40,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,40,16:00,,,,,"FOUL  by BENHAM,CHELSEA",,,"FOUL  by BENHAM,CHELSEA",1,foul,,Centre,chelsea benham,,960
41,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,41,16:00,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1,timeout,,Centre,,,960
42,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,42,16:00,"SUB IN by EARL,BRITTNEI",,,,,,,"SUB IN by EARL,BRITTNEI",1,subbing in,,millsaps,brittnei earl,,960
