,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,WASHUW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
25,29,washington-mo-,Washington Univ.,Centre College,57-55,57,55,"20, 37, 57","32, 23, 55",20,37,57,32,23,55,26-3,21-6,03/03/12,Win,No Attendence Recorded,No Location Recorded,7:00 p.m.,H,25,--,,,,,"REBOUND DEF by BAECHLE,PAIGE",,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
26,29,washington-mo-,Washington Univ.,Centre College,57-55,57,55,"20, 37, 57","32, 23, 55",20,37,57,32,23,55,26-3,21-6,03/03/12,Win,No Attendence Recorded,No Location Recorded,7:00 p.m.,H,26,17:31,,,,,"MISS JUMPER by PREWITT,MAGGIE",,,"MISS JUMPER by PREWITT,MAGGIE",1,jumper,missed,Centre,maggie prewitt,,1051
27,29,washington-mo-,Washington Univ.,Centre College,57-55,57,55,"20, 37, 57","32, 23, 55",20,37,57,32,23,55,26-3,21-6,03/03/12,Win,No Attendence Recorded,No Location Recorded,7:00 p.m.,H,27,--,,,,,"REBOUND OFF by WEST,CAILYNN",,,"REBOUND OFF by WEST,CAILYNN",1,offensive rebound,,Centre,cailynn west,,
28,29,washington-mo-,Washington Univ.,Centre College,57-55,57,55,"20, 37, 57","32, 23, 55",20,37,57,32,23,55,26-3,21-6,03/03/12,Win,No Attendence Recorded,No Location Recorded,7:00 p.m.,H,28,17:01,,,,,"MISS JUMPER by PREWITT,MAGGIE",,,"MISS JUMPER by PREWITT,MAGGIE",1,jumper,missed,Centre,maggie prewitt,,1021
29,29,washington-mo-,Washington Univ.,Centre College,57-55,57,55,"20, 37, 57","32, 23, 55",20,37,57,32,23,55,26-3,21-6,03/03/12,Win,No Attendence Recorded,No Location Recorded,7:00 p.m.,H,29,--,"REBOUND DEF by SCHEPPERS,MADDY",,,,,,,"REBOUND DEF by SCHEPPERS,MADDY",1,defensive rebound,,washington univ.,maddy scheppers,,
30,29,washington-mo-,Washington Univ.,Centre College,57-55,57,55,"20, 37, 57","32, 23, 55",20,37,57,32,23,55,26-3,21-6,03/03/12,Win,No Attendence Recorded,No Location Recorded,7:00 p.m.,H,30,16:49,"TURNOVER  by MORRISON,BETHANY",,,,,,,"TURNOVER  by MORRISON,BETHANY",1,turnover,,washington univ.,bethany morrison,,1009
31,29,washington-mo-,Washington Univ.,Centre College,57-55,57,55,"20, 37, 57","32, 23, 55",20,37,57,32,23,55,26-3,21-6,03/03/12,Win,No Attendence Recorded,No Location Recorded,7:00 p.m.,H,31,16:37,,,,,"MISS JUMPER by BAECHLE,PAIGE",,,"MISS JUMPER by BAECHLE,PAIGE",1,jumper,missed,Centre,paige baechle,,997
32,29,washington-mo-,Washington Univ.,Centre College,57-55,57,55,"20, 37, 57","32, 23, 55",20,37,57,32,23,55,26-3,21-6,03/03/12,Win,No Attendence Recorded,No Location Recorded,7:00 p.m.,H,32,--,"REBOUND DEF by SCHEPPERS,MADDY",,,,,,,"REBOUND DEF by SCHEPPERS,MADDY",1,defensive rebound,,washington univ.,maddy scheppers,,
33,29,washington-mo-,Washington Univ.,Centre College,57-55,57,55,"20, 37, 57","32, 23, 55",20,37,57,32,23,55,26-3,21-6,03/03/12,Win,No Attendence Recorded,No Location Recorded,7:00 p.m.,H,33,16:32,"MISS JUMPER by GILKEY,MELISSA",,,,,,,"MISS JUMPER by GILKEY,MELISSA",1,jumper,missed,washington univ.,melissa gilkey,,992
34,29,washington-mo-,Washington Univ.,Centre College,57-55,57,55,"20, 37, 57","32, 23, 55",20,37,57,32,23,55,26-3,21-6,03/03/12,Win,No Attendence Recorded,No Location Recorded,7:00 p.m.,H,34,--,"REBOUND OFF by SCHEPPERS,MADDY",,,,,,,"REBOUND OFF by SCHEPPERS,MADDY",1,offensive rebound,,washington univ.,maddy scheppers,,
