,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CCW,Away Team Score,Play Team Indicator,Home Team Score,OUW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
23,19,oglethorpe,Centre,Oglethorpe,45-65,45,65,"8, 15, 13, 9, 45","23, 8, 20, 14, 65",8,15,13,9,45,23,8,20,14,65,"5-14, 3-5 SAA","8-10, 3-5 SAA",01/31/16,Lose,225,No Location Recorded,1 p.m.,A,23,07:44,"SUB OUT by SCHAD,OLIVIA",,,,,,,"SUB OUT by SCHAD,OLIVIA",1,subbing out,,Centre,olivia schad,,464
24,19,oglethorpe,Centre,Oglethorpe,45-65,45,65,"8, 15, 13, 9, 45","23, 8, 20, 14, 65",8,15,13,9,45,23,8,20,14,65,"5-14, 3-5 SAA","8-10, 3-5 SAA",01/31/16,Lose,225,No Location Recorded,1 p.m.,A,24,07:30,"MISS JUMPER by MCKNIGHT,KAITLYN",,,,,,,"MISS JUMPER by MCKNIGHT,KAITLYN",1,jumper,missed,Centre,kaitlyn mcknight,,450
25,19,oglethorpe,Centre,Oglethorpe,45-65,45,65,"8, 15, 13, 9, 45","23, 8, 20, 14, 65",8,15,13,9,45,23,8,20,14,65,"5-14, 3-5 SAA","8-10, 3-5 SAA",01/31/16,Lose,225,No Location Recorded,1 p.m.,A,25,--,,,,,"REBOUND DEF by RANSOM,LAUREN",,,"REBOUND DEF by RANSOM,LAUREN",1,defensive rebound,,oglethorpe,lauren ransom,,
26,19,oglethorpe,Centre,Oglethorpe,45-65,45,65,"8, 15, 13, 9, 45","23, 8, 20, 14, 65",8,15,13,9,45,23,8,20,14,65,"5-14, 3-5 SAA","8-10, 3-5 SAA",01/31/16,Lose,225,No Location Recorded,1 p.m.,A,26,07:07,"SUB IN by ANDREASSEN,CAROLINE",,,,,,,"SUB IN by ANDREASSEN,CAROLINE",1,subbing in,,Centre,caroline andreassen,,427
27,19,oglethorpe,Centre,Oglethorpe,45-65,45,65,"8, 15, 13, 9, 45","23, 8, 20, 14, 65",8,15,13,9,45,23,8,20,14,65,"5-14, 3-5 SAA","8-10, 3-5 SAA",01/31/16,Lose,225,No Location Recorded,1 p.m.,A,27,07:07,"SUB OUT by RHULE,BONNIE",,,,,,,"SUB OUT by RHULE,BONNIE",1,subbing out,,Centre,bonnie rhule,,427
28,19,oglethorpe,Centre,Oglethorpe,45-65,45,65,"8, 15, 13, 9, 45","23, 8, 20, 14, 65",8,15,13,9,45,23,8,20,14,65,"5-14, 3-5 SAA","8-10, 3-5 SAA",01/31/16,Lose,225,No Location Recorded,1 p.m.,A,28,06:59,,,,,"MISS 3PTR by RANSOM,LAUREN",,,"MISS 3PTR by RANSOM,LAUREN",1,three pointer,missed,oglethorpe,lauren ransom,,419
29,19,oglethorpe,Centre,Oglethorpe,45-65,45,65,"8, 15, 13, 9, 45","23, 8, 20, 14, 65",8,15,13,9,45,23,8,20,14,65,"5-14, 3-5 SAA","8-10, 3-5 SAA",01/31/16,Lose,225,No Location Recorded,1 p.m.,A,29,--,,,,,"REBOUND OFF by BUCK,EMILY",,,"REBOUND OFF by BUCK,EMILY",1,offensive rebound,,oglethorpe,emily buck,,
30,19,oglethorpe,Centre,Oglethorpe,45-65,45,65,"8, 15, 13, 9, 45","23, 8, 20, 14, 65",8,15,13,9,45,23,8,20,14,65,"5-14, 3-5 SAA","8-10, 3-5 SAA",01/31/16,Lose,225,No Location Recorded,1 p.m.,A,30,06:45,,2,,9 (+7),"GOOD 3PTR by FOLTZ,MADI",OUW 2-9 (-7),,"GOOD 3PTR by FOLTZ,MADI",1,three pointer,good,oglethorpe,madi foltz,3,405
31,19,oglethorpe,Centre,Oglethorpe,45-65,45,65,"8, 15, 13, 9, 45","23, 8, 20, 14, 65",8,15,13,9,45,23,8,20,14,65,"5-14, 3-5 SAA","8-10, 3-5 SAA",01/31/16,Lose,225,No Location Recorded,1 p.m.,A,31,--,,,,,"ASSIST  by RANSOM,LAUREN",,,"ASSIST  by RANSOM,LAUREN",1,assist,,oglethorpe,lauren ransom,,
32,19,oglethorpe,Centre,Oglethorpe,45-65,45,65,"8, 15, 13, 9, 45","23, 8, 20, 14, 65",8,15,13,9,45,23,8,20,14,65,"5-14, 3-5 SAA","8-10, 3-5 SAA",01/31/16,Lose,225,No Location Recorded,1 p.m.,A,32,06:19,"TURNOVER  by MCKNIGHT,KAITLYN",,,,,,,"TURNOVER  by MCKNIGHT,KAITLYN",1,turnover,,Centre,kaitlyn mcknight,,379
