,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,PCW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
43,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,43,06:17,,,,,"STEAL  by SULLENS,DAKOTA",,,"STEAL  by SULLENS,DAKOTA",1,steal,,piedmont,,,377
44,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,44,06:12,,,,,"TURNOVER  by JONES,LE'SHAUNDA",,,"TURNOVER  by JONES,LE'SHAUNDA",1,turnover,,piedmont,le'shaunda jones,,372
45,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,45,06:12,"SUB IN by ANDREASSEN,CAROLINE",,,,,,,"SUB IN by ANDREASSEN,CAROLINE",1,subbing in,,Centre,caroline andreassen,,372
46,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,46,06:12,"SUB IN by KELLAM,PAIGE",,,,,,,"SUB IN by KELLAM,PAIGE",1,subbing in,,Centre,paige kellam,,372
47,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,47,06:12,"SUB OUT by RHULE,BONNIE",,,,,,,"SUB OUT by RHULE,BONNIE",1,subbing out,,Centre,bonnie rhule,,372
48,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,48,06:12,"SUB OUT by SCHAD,OLIVIA",,,,,,,"SUB OUT by SCHAD,OLIVIA",1,subbing out,,Centre,olivia schad,,372
49,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,49,05:58,"TURNOVER  by ANDREASSEN,CAROLINE",,,,,,,"TURNOVER  by ANDREASSEN,CAROLINE",1,turnover,,Centre,caroline andreassen,,358
50,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,50,05:58,,,,,"STEAL  by BARRETT,BRIANNA",,,"STEAL  by BARRETT,BRIANNA",1,steal,,piedmont,,,358
51,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,51,05:58,,,,,"SUB IN by SHIELDS,CARLIE",,,"SUB IN by SHIELDS,CARLIE",1,subbing in,,piedmont,carlie shields,,358
52,10,piedmont,Centre,Piedmont,52-60,52,60,"16, 9, 11, 16, 52","12, 13, 14, 21, 60",16,9,11,16,52,12,13,14,21,60,1-9,6-4,12/29/15,Lose,492,No Location Recorded,7:00 PM,A,52,05:58,,,,,"SUB OUT by JONES,LE'SHAUNDA",,,"SUB OUT by JONES,LE'SHAUNDA",1,subbing out,,piedmont,le'shaunda jones,,358
