,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MILLWBB,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
37,21,millsaps,Millsaps,Centre,37-45,37,45,"7, 10, 11, 9, 37","14, 7, 13, 11, 45",7,10,11,9,37,14,7,13,11,45,"5-16, 3-7 SAA","13-8, 7-3 SAA",02/07/16,Lose,678,No Location Recorded,1:00 PM,H,37,06:36,,,,,"SUB OUT by MCKNIGHT,KAITLYN",,,"SUB OUT by MCKNIGHT,KAITLYN",1,subbing out,,Centre,kaitlyn mcknight,,396
38,21,millsaps,Millsaps,Centre,37-45,37,45,"7, 10, 11, 9, 37","14, 7, 13, 11, 45",7,10,11,9,37,14,7,13,11,45,"5-16, 3-7 SAA","13-8, 7-3 SAA",02/07/16,Lose,678,No Location Recorded,1:00 PM,H,38,06:12,,,,,"MISS JUMPER by JUDY,MICHELE",,,"MISS JUMPER by JUDY,MICHELE",1,jumper,missed,Centre,michele judy,,372
39,21,millsaps,Millsaps,Centre,37-45,37,45,"7, 10, 11, 9, 37","14, 7, 13, 11, 45",7,10,11,9,37,14,7,13,11,45,"5-16, 3-7 SAA","13-8, 7-3 SAA",02/07/16,Lose,678,No Location Recorded,1:00 PM,H,39,--,"REBOUND DEF by FREEMAN,KALA-JEWEL",,,,,,,"REBOUND DEF by FREEMAN,KALA-JEWEL",1,defensive rebound,,millsaps,kala-jewel freeman,,
40,21,millsaps,Millsaps,Centre,37-45,37,45,"7, 10, 11, 9, 37","14, 7, 13, 11, 45",7,10,11,9,37,14,7,13,11,45,"5-16, 3-7 SAA","13-8, 7-3 SAA",02/07/16,Lose,678,No Location Recorded,1:00 PM,H,40,05:46,"MISS 3PTR by TAYLOR,MARISSA",,,,,,,"MISS 3PTR by TAYLOR,MARISSA",1,three pointer,missed,millsaps,marissa taylor,,346
41,21,millsaps,Millsaps,Centre,37-45,37,45,"7, 10, 11, 9, 37","14, 7, 13, 11, 45",7,10,11,9,37,14,7,13,11,45,"5-16, 3-7 SAA","13-8, 7-3 SAA",02/07/16,Lose,678,No Location Recorded,1:00 PM,H,41,--,,,,,"REBOUND DEF by GUY,ALEXIS",,,"REBOUND DEF by GUY,ALEXIS",1,defensive rebound,,Centre,alexis guy,,
42,21,millsaps,Millsaps,Centre,37-45,37,45,"7, 10, 11, 9, 37","14, 7, 13, 11, 45",7,10,11,9,37,14,7,13,11,45,"5-16, 3-7 SAA","13-8, 7-3 SAA",02/07/16,Lose,678,No Location Recorded,1:00 PM,H,42,05:39,,,,,"MISS JUMPER by ANDREASSEN,CAROLINE",,,"MISS JUMPER by ANDREASSEN,CAROLINE",1,jumper,missed,Centre,caroline andreassen,,339
43,21,millsaps,Millsaps,Centre,37-45,37,45,"7, 10, 11, 9, 37","14, 7, 13, 11, 45",7,10,11,9,37,14,7,13,11,45,"5-16, 3-7 SAA","13-8, 7-3 SAA",02/07/16,Lose,678,No Location Recorded,1:00 PM,H,43,05:39,"BLOCK  by KLUNK,KIM",,,,,,,"BLOCK  by KLUNK,KIM",1,block,,millsaps,kim klunk,,339
44,21,millsaps,Millsaps,Centre,37-45,37,45,"7, 10, 11, 9, 37","14, 7, 13, 11, 45",7,10,11,9,37,14,7,13,11,45,"5-16, 3-7 SAA","13-8, 7-3 SAA",02/07/16,Lose,678,No Location Recorded,1:00 PM,H,44,--,"REBOUND DEF by FREEMAN,KALA-JEWEL",,,,,,,"REBOUND DEF by FREEMAN,KALA-JEWEL",1,defensive rebound,,millsaps,kala-jewel freeman,,
45,21,millsaps,Millsaps,Centre,37-45,37,45,"7, 10, 11, 9, 37","14, 7, 13, 11, 45",7,10,11,9,37,14,7,13,11,45,"5-16, 3-7 SAA","13-8, 7-3 SAA",02/07/16,Lose,678,No Location Recorded,1:00 PM,H,45,05:29,"GOOD LAYUP by TAYLOR,MARISSA(in the paint)",9 (+7),,2,,MILLWBB 9-2 (-7),,"GOOD LAYUP by TAYLOR,MARISSA(in the paint)",1,layup,good,millsaps,marissa taylor,2,329
46,21,millsaps,Millsaps,Centre,37-45,37,45,"7, 10, 11, 9, 37","14, 7, 13, 11, 45",7,10,11,9,37,14,7,13,11,45,"5-16, 3-7 SAA","13-8, 7-3 SAA",02/07/16,Lose,678,No Location Recorded,1:00 PM,H,46,--,"ASSIST  by JORDAN,KEYERRA",,,,,,,"ASSIST  by JORDAN,KEYERRA",1,assist,,millsaps,keyerra jordan,,
47,21,millsaps,Millsaps,Centre,37-45,37,45,"7, 10, 11, 9, 37","14, 7, 13, 11, 45",7,10,11,9,37,14,7,13,11,45,"5-16, 3-7 SAA","13-8, 7-3 SAA",02/07/16,Lose,678,No Location Recorded,1:00 PM,H,47,05:27,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1,timeout,,Centre,,,327
48,21,millsaps,Millsaps,Centre,37-45,37,45,"7, 10, 11, 9, 37","14, 7, 13, 11, 45",7,10,11,9,37,14,7,13,11,45,"5-16, 3-7 SAA","13-8, 7-3 SAA",02/07/16,Lose,678,No Location Recorded,1:00 PM,H,48,05:13,,9 (+5),,4,"GOOD JUMPER by VANCE,DAY",CENTRE-W 9-4 (-5),,"GOOD JUMPER by VANCE,DAY",1,jumper,good,Centre,day vance,2,313
49,21,millsaps,Millsaps,Centre,37-45,37,45,"7, 10, 11, 9, 37","14, 7, 13, 11, 45",7,10,11,9,37,14,7,13,11,45,"5-16, 3-7 SAA","13-8, 7-3 SAA",02/07/16,Lose,678,No Location Recorded,1:00 PM,H,49,--,,,,,"ASSIST  by KELLAM,PAIGE",,,"ASSIST  by KELLAM,PAIGE",1,assist,,Centre,paige kellam,,
50,21,millsaps,Millsaps,Centre,37-45,37,45,"7, 10, 11, 9, 37","14, 7, 13, 11, 45",7,10,11,9,37,14,7,13,11,45,"5-16, 3-7 SAA","13-8, 7-3 SAA",02/07/16,Lose,678,No Location Recorded,1:00 PM,H,50,05:00,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1,timeout,,Centre,,,300
51,21,millsaps,Millsaps,Centre,37-45,37,45,"7, 10, 11, 9, 37","14, 7, 13, 11, 45",7,10,11,9,37,14,7,13,11,45,"5-16, 3-7 SAA","13-8, 7-3 SAA",02/07/16,Lose,678,No Location Recorded,1:00 PM,H,51,05:00,"SUB IN by BROOKS,MIAH",,,,,,,"SUB IN by BROOKS,MIAH",1,subbing in,,millsaps,miah brooks,,300
