,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,TMC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
24,8,thomas-more,Centre,Thomas More,37-75,37,75,"5, 13, 8, 11, 37","21, 19, 17, 18, 75",5,13,8,11,37,21,19,17,18,75,1-7,7-0,12/16/15,Lose,427,No Location Recorded,7 p.m.,A,24,07:40,"SUB OUT by STEWART,ABIGAIL",,,,,,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,460
25,8,thomas-more,Centre,Thomas More,37-75,37,75,"5, 13, 8, 11, 37","21, 19, 17, 18, 75",5,13,8,11,37,21,19,17,18,75,1-7,7-0,12/16/15,Lose,427,No Location Recorded,7 p.m.,A,25,07:28,"TURNOVER  by GUY,ALEXIS",,,,,,,"TURNOVER  by GUY,ALEXIS",1,turnover,,Centre,alexis guy,,448
26,8,thomas-more,Centre,Thomas More,37-75,37,75,"5, 13, 8, 11, 37","21, 19, 17, 18, 75",5,13,8,11,37,21,19,17,18,75,1-7,7-0,12/16/15,Lose,427,No Location Recorded,7 p.m.,A,26,07:26,,,,,"STEAL  by KIERNAN,NIKKI",,,"STEAL  by KIERNAN,NIKKI",1,steal,,thomas more,,,446
27,8,thomas-more,Centre,Thomas More,37-75,37,75,"5, 13, 8, 11, 37","21, 19, 17, 18, 75",5,13,8,11,37,21,19,17,18,75,1-7,7-0,12/16/15,Lose,427,No Location Recorded,7 p.m.,A,27,07:21,,,,,"TURNOVER  by KIERNAN,NIKKI",,,"TURNOVER  by KIERNAN,NIKKI",1,turnover,,thomas more,nikki kiernan,,441
28,8,thomas-more,Centre,Thomas More,37-75,37,75,"5, 13, 8, 11, 37","21, 19, 17, 18, 75",5,13,8,11,37,21,19,17,18,75,1-7,7-0,12/16/15,Lose,427,No Location Recorded,7 p.m.,A,28,07:21,"STEAL  by GUY,ALEXIS",,,,,,,"STEAL  by GUY,ALEXIS",1,steal,,Centre,,,441
29,8,thomas-more,Centre,Thomas More,37-75,37,75,"5, 13, 8, 11, 37","21, 19, 17, 18, 75",5,13,8,11,37,21,19,17,18,75,1-7,7-0,12/16/15,Lose,427,No Location Recorded,7 p.m.,A,29,06:59,"MISS JUMPER by JUDY,MICHELE",,,,,,,"MISS JUMPER by JUDY,MICHELE",1,jumper,missed,Centre,michele judy,,419
30,8,thomas-more,Centre,Thomas More,37-75,37,75,"5, 13, 8, 11, 37","21, 19, 17, 18, 75",5,13,8,11,37,21,19,17,18,75,1-7,7-0,12/16/15,Lose,427,No Location Recorded,7 p.m.,A,30,--,"REBOUND OFF by VANCE,DAY",,,,,,,"REBOUND OFF by VANCE,DAY",1,offensive rebound,,Centre,day vance,,
31,8,thomas-more,Centre,Thomas More,37-75,37,75,"5, 13, 8, 11, 37","21, 19, 17, 18, 75",5,13,8,11,37,21,19,17,18,75,1-7,7-0,12/16/15,Lose,427,No Location Recorded,7 p.m.,A,31,06:51,"MISS JUMPER by GUY,ALEXIS",,,,,,,"MISS JUMPER by GUY,ALEXIS",1,jumper,missed,Centre,alexis guy,,411
32,8,thomas-more,Centre,Thomas More,37-75,37,75,"5, 13, 8, 11, 37","21, 19, 17, 18, 75",5,13,8,11,37,21,19,17,18,75,1-7,7-0,12/16/15,Lose,427,No Location Recorded,7 p.m.,A,32,06:51,,,,,"BLOCK  by KIERNAN,NIKKI",,,"BLOCK  by KIERNAN,NIKKI",1,block,,thomas more,nikki kiernan,,411
33,8,thomas-more,Centre,Thomas More,37-75,37,75,"5, 13, 8, 11, 37","21, 19, 17, 18, 75",5,13,8,11,37,21,19,17,18,75,1-7,7-0,12/16/15,Lose,427,No Location Recorded,7 p.m.,A,33,--,,,,,"REBOUND DEF by KIERNAN,NIKKI",,,"REBOUND DEF by KIERNAN,NIKKI",1,defensive rebound,,thomas more,nikki kiernan,,
