,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,ONUW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
24,6,ohio-northern,Centre,Ohio Northern,47-85,47,85,"14, 8, 15, 10, 47","19, 22, 15, 29, 85",14,8,15,10,47,19,22,15,29,85,1-5,3-2,11/29/15,Lose,156,No Location Recorded,2 p.m.,A,24,--,,,,,"REBOUND DEF by STEFFAS,KARISSA",,,"REBOUND DEF by STEFFAS,KARISSA",1,defensive rebound,,ohio northern,karissa steffas,,
25,6,ohio-northern,Centre,Ohio Northern,47-85,47,85,"14, 8, 15, 10, 47","19, 22, 15, 29, 85",14,8,15,10,47,19,22,15,29,85,1-5,3-2,11/29/15,Lose,156,No Location Recorded,2 p.m.,A,25,07:08,,2,,10 (+8),"GOOD 3PTR by LAUCK,BRITT",ONUW 2-10 (-8),,"GOOD 3PTR by LAUCK,BRITT",1,three pointer,good,ohio northern,britt lauck,3,428
26,6,ohio-northern,Centre,Ohio Northern,47-85,47,85,"14, 8, 15, 10, 47","19, 22, 15, 29, 85",14,8,15,10,47,19,22,15,29,85,1-5,3-2,11/29/15,Lose,156,No Location Recorded,2 p.m.,A,26,--,,,,,"ASSIST  by ESPENSCHIED,BROOKE",,,"ASSIST  by ESPENSCHIED,BROOKE",1,assist,,ohio northern,brooke espenschied,,
27,6,ohio-northern,Centre,Ohio Northern,47-85,47,85,"14, 8, 15, 10, 47","19, 22, 15, 29, 85",14,8,15,10,47,19,22,15,29,85,1-5,3-2,11/29/15,Lose,156,No Location Recorded,2 p.m.,A,27,07:04,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1,timeout,,Centre,,,424
28,6,ohio-northern,Centre,Ohio Northern,47-85,47,85,"14, 8, 15, 10, 47","19, 22, 15, 29, 85",14,8,15,10,47,19,22,15,29,85,1-5,3-2,11/29/15,Lose,156,No Location Recorded,2 p.m.,A,28,06:34,"TURNOVER  by STEWART,ABIGAIL",,,,,,,"TURNOVER  by STEWART,ABIGAIL",1,turnover,,Centre,abigail stewart,,394
29,6,ohio-northern,Centre,Ohio Northern,47-85,47,85,"14, 8, 15, 10, 47","19, 22, 15, 29, 85",14,8,15,10,47,19,22,15,29,85,1-5,3-2,11/29/15,Lose,156,No Location Recorded,2 p.m.,A,29,06:32,,,,,"STEAL  by BULLIMORE,AMY",,,"STEAL  by BULLIMORE,AMY",1,steal,,ohio northern,,,392
30,6,ohio-northern,Centre,Ohio Northern,47-85,47,85,"14, 8, 15, 10, 47","19, 22, 15, 29, 85",14,8,15,10,47,19,22,15,29,85,1-5,3-2,11/29/15,Lose,156,No Location Recorded,2 p.m.,A,30,06:22,,,,,"TURNOVER  by STEFFAS,KARISSA",,,"TURNOVER  by STEFFAS,KARISSA",1,turnover,,ohio northern,karissa steffas,,382
31,6,ohio-northern,Centre,Ohio Northern,47-85,47,85,"14, 8, 15, 10, 47","19, 22, 15, 29, 85",14,8,15,10,47,19,22,15,29,85,1-5,3-2,11/29/15,Lose,156,No Location Recorded,2 p.m.,A,31,06:20,"STEAL  by STEWART,ABIGAIL",,,,,,,"STEAL  by STEWART,ABIGAIL",1,steal,,Centre,,,380
32,6,ohio-northern,Centre,Ohio Northern,47-85,47,85,"14, 8, 15, 10, 47","19, 22, 15, 29, 85",14,8,15,10,47,19,22,15,29,85,1-5,3-2,11/29/15,Lose,156,No Location Recorded,2 p.m.,A,32,06:12,"GOOD 3PTR by MOORE,KATIE",5,,10 (+5),,CENTRE-W 5-10 (-5),,"GOOD 3PTR by MOORE,KATIE",1,three pointer,good,Centre,katie moore,3,372
33,6,ohio-northern,Centre,Ohio Northern,47-85,47,85,"14, 8, 15, 10, 47","19, 22, 15, 29, 85",14,8,15,10,47,19,22,15,29,85,1-5,3-2,11/29/15,Lose,156,No Location Recorded,2 p.m.,A,33,06:04,,5,,13 (+8),"GOOD 3PTR by LAUCK,BRITT",ONUW 5-13 (-8),,"GOOD 3PTR by LAUCK,BRITT",1,three pointer,good,ohio northern,britt lauck,3,364
