,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTREW,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
23,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,23,06:03,"MISS 3PTR by RHULE,BONNIE",,,,,,,"MISS 3PTR by RHULE,BONNIE",1,three pointer,missed,Centre,bonnie rhule,,363
24,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,24,--,,,,,"REBOUND DEF by PEURSEM,LAURA VAN",,,"REBOUND DEF by PEURSEM,LAURA VAN",1,defensive rebound,,birmingham-southern,laura van peursem,,
25,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,25,05:43,,,,,"FOUL  by HOLMES,JAMEICE",,,"FOUL  by HOLMES,JAMEICE",1,foul,,birmingham-southern,jameice holmes,,343
26,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,26,05:43,,,,,"TURNOVER  by HOLMES,JAMEICE",,,"TURNOVER  by HOLMES,JAMEICE",1,turnover,,birmingham-southern,jameice holmes,,343
27,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,27,05:43,"SUB IN by JUDY,MICHELE",,,,,,,"SUB IN by JUDY,MICHELE",1,subbing in,,Centre,michele judy,,343
28,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,28,05:43,"SUB IN by VANCE,DAY",,,,,,,"SUB IN by VANCE,DAY",1,subbing in,,Centre,day vance,,343
29,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,29,05:43,"SUB IN by ANDREASSEN,CAROLINE",,,,,,,"SUB IN by ANDREASSEN,CAROLINE",1,subbing in,,Centre,caroline andreassen,,343
30,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,30,05:43,"SUB IN by KELLAM,PAIGE",,,,,,,"SUB IN by KELLAM,PAIGE",1,subbing in,,Centre,paige kellam,,343
31,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,31,05:43,"SUB OUT by STEWART,ABIGAIL",,,,,,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,343
32,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,32,05:43,"SUB OUT by MCKNIGHT,KAITLYN",,,,,,,"SUB OUT by MCKNIGHT,KAITLYN",1,subbing out,,Centre,kaitlyn mcknight,,343
