,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CEN,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
23,22,rhodes,Centre College,Rhodes,56-65,56,65,"7, 12, 18, 19, 56","18, 12, 11, 24, 65",7,12,18,19,56,18,12,11,24,65,"5-17, 3-8 SAA","12-10, 6-5 SAA",02/12/16,Lose,321,No Location Recorded,6:00 PM,A,23,07:09,"SUB OUT by MILLER,LAKKEN",,,,,,,"SUB OUT by MILLER,LAKKEN",1,subbing out,,Centre,lakken miller,,429
24,22,rhodes,Centre College,Rhodes,56-65,56,65,"7, 12, 18, 19, 56","18, 12, 11, 24, 65",7,12,18,19,56,18,12,11,24,65,"5-17, 3-8 SAA","12-10, 6-5 SAA",02/12/16,Lose,321,No Location Recorded,6:00 PM,A,24,07:09,"SUB OUT by SCHAD,OLIVIA",,,,,,,"SUB OUT by SCHAD,OLIVIA",1,subbing out,,Centre,olivia schad,,429
25,22,rhodes,Centre College,Rhodes,56-65,56,65,"7, 12, 18, 19, 56","18, 12, 11, 24, 65",7,12,18,19,56,18,12,11,24,65,"5-17, 3-8 SAA","12-10, 6-5 SAA",02/12/16,Lose,321,No Location Recorded,6:00 PM,A,25,07:09,"SUB OUT by ANDREASSEN,CAROLINE",,,,,,,"SUB OUT by ANDREASSEN,CAROLINE",1,subbing out,,Centre,caroline andreassen,,429
26,22,rhodes,Centre College,Rhodes,56-65,56,65,"7, 12, 18, 19, 56","18, 12, 11, 24, 65",7,12,18,19,56,18,12,11,24,65,"5-17, 3-8 SAA","12-10, 6-5 SAA",02/12/16,Lose,321,No Location Recorded,6:00 PM,A,26,07:09,"SUB OUT by RICE,MADISON",,,,,,,"SUB OUT by RICE,MADISON",1,subbing out,,Centre,madison rice,,429
27,22,rhodes,Centre College,Rhodes,56-65,56,65,"7, 12, 18, 19, 56","18, 12, 11, 24, 65",7,12,18,19,56,18,12,11,24,65,"5-17, 3-8 SAA","12-10, 6-5 SAA",02/12/16,Lose,321,No Location Recorded,6:00 PM,A,27,07:09,"SUB OUT by VANCE,DAY",,,,,,,"SUB OUT by VANCE,DAY",1,subbing out,,Centre,day vance,,429
28,22,rhodes,Centre College,Rhodes,56-65,56,65,"7, 12, 18, 19, 56","18, 12, 11, 24, 65",7,12,18,19,56,18,12,11,24,65,"5-17, 3-8 SAA","12-10, 6-5 SAA",02/12/16,Lose,321,No Location Recorded,6:00 PM,A,28,07:04,,,,,"MISS LAYUP by DANIELS,SYMONE",,,"MISS LAYUP by DANIELS,SYMONE",1,layup,missed,rhodes,symone daniels,,424
29,22,rhodes,Centre College,Rhodes,56-65,56,65,"7, 12, 18, 19, 56","18, 12, 11, 24, 65",7,12,18,19,56,18,12,11,24,65,"5-17, 3-8 SAA","12-10, 6-5 SAA",02/12/16,Lose,321,No Location Recorded,6:00 PM,A,29,--,"REBOUND DEF by JUDY,MICHELE",,,,,,,"REBOUND DEF by JUDY,MICHELE",1,defensive rebound,,Centre,michele judy,,
30,22,rhodes,Centre College,Rhodes,56-65,56,65,"7, 12, 18, 19, 56","18, 12, 11, 24, 65",7,12,18,19,56,18,12,11,24,65,"5-17, 3-8 SAA","12-10, 6-5 SAA",02/12/16,Lose,321,No Location Recorded,6:00 PM,A,30,06:48,,,,,"SUB IN by KRAMER,BAILEY",,,"SUB IN by KRAMER,BAILEY",1,subbing in,,rhodes,bailey kramer,,408
31,22,rhodes,Centre College,Rhodes,56-65,56,65,"7, 12, 18, 19, 56","18, 12, 11, 24, 65",7,12,18,19,56,18,12,11,24,65,"5-17, 3-8 SAA","12-10, 6-5 SAA",02/12/16,Lose,321,No Location Recorded,6:00 PM,A,31,06:48,,,,,"SUB OUT by BUTLER,MADISON",,,"SUB OUT by BUTLER,MADISON",1,subbing out,,rhodes,madison butler,,408
32,22,rhodes,Centre College,Rhodes,56-65,56,65,"7, 12, 18, 19, 56","18, 12, 11, 24, 65",7,12,18,19,56,18,12,11,24,65,"5-17, 3-8 SAA","12-10, 6-5 SAA",02/12/16,Lose,321,No Location Recorded,6:00 PM,A,32,06:38,"MISS 3PTR by ANDREASSEN,CAROLINE",,,,,,,"MISS 3PTR by ANDREASSEN,CAROLINE",1,three pointer,missed,Centre,caroline andreassen,,398
33,22,rhodes,Centre College,Rhodes,56-65,56,65,"7, 12, 18, 19, 56","18, 12, 11, 24, 65",7,12,18,19,56,18,12,11,24,65,"5-17, 3-8 SAA","12-10, 6-5 SAA",02/12/16,Lose,321,No Location Recorded,6:00 PM,A,33,--,,,,,"REBOUND DEF by SMITH,BLAIRE",,,"REBOUND DEF by SMITH,BLAIRE",1,defensive rebound,,rhodes,blaire smith,,
34,22,rhodes,Centre College,Rhodes,56-65,56,65,"7, 12, 18, 19, 56","18, 12, 11, 24, 65",7,12,18,19,56,18,12,11,24,65,"5-17, 3-8 SAA","12-10, 6-5 SAA",02/12/16,Lose,321,No Location Recorded,6:00 PM,A,34,06:27,,,,,"MISS JUMPER by KRAMER,BAILEY",,,"MISS JUMPER by KRAMER,BAILEY",1,jumper,missed,rhodes,bailey kramer,,387
35,22,rhodes,Centre College,Rhodes,56-65,56,65,"7, 12, 18, 19, 56","18, 12, 11, 24, 65",7,12,18,19,56,18,12,11,24,65,"5-17, 3-8 SAA","12-10, 6-5 SAA",02/12/16,Lose,321,No Location Recorded,6:00 PM,A,35,--,,,,,"REBOUND OFF by ORTH,HANNAH",,,"REBOUND OFF by ORTH,HANNAH",1,offensive rebound,,rhodes,hannah orth,,
36,22,rhodes,Centre College,Rhodes,56-65,56,65,"7, 12, 18, 19, 56","18, 12, 11, 24, 65",7,12,18,19,56,18,12,11,24,65,"5-17, 3-8 SAA","12-10, 6-5 SAA",02/12/16,Lose,321,No Location Recorded,6:00 PM,A,36,06:15,,3,,7 (+4),"GOOD LAYUP by SMITH,BLAIRE(in the paint)",RHO 3-7 (-4),,"GOOD LAYUP by SMITH,BLAIRE(in the paint)",1,layup,good,rhodes,blaire smith,2,375
37,22,rhodes,Centre College,Rhodes,56-65,56,65,"7, 12, 18, 19, 56","18, 12, 11, 24, 65",7,12,18,19,56,18,12,11,24,65,"5-17, 3-8 SAA","12-10, 6-5 SAA",02/12/16,Lose,321,No Location Recorded,6:00 PM,A,37,05:47,"MISS 3PTR by ANDREASSEN,CAROLINE",,,,,,,"MISS 3PTR by ANDREASSEN,CAROLINE",1,three pointer,missed,Centre,caroline andreassen,,347
38,22,rhodes,Centre College,Rhodes,56-65,56,65,"7, 12, 18, 19, 56","18, 12, 11, 24, 65",7,12,18,19,56,18,12,11,24,65,"5-17, 3-8 SAA","12-10, 6-5 SAA",02/12/16,Lose,321,No Location Recorded,6:00 PM,A,38,--,,,,,"REBOUND DEF by ORTH,HANNAH",,,"REBOUND DEF by ORTH,HANNAH",1,defensive rebound,,rhodes,hannah orth,,
39,22,rhodes,Centre College,Rhodes,56-65,56,65,"7, 12, 18, 19, 56","18, 12, 11, 24, 65",7,12,18,19,56,18,12,11,24,65,"5-17, 3-8 SAA","12-10, 6-5 SAA",02/12/16,Lose,321,No Location Recorded,6:00 PM,A,39,05:37,,3,,10 (+7),"GOOD 3PTR by ECKERT,CATHERINE",RHO 3-10 (-7),,"GOOD 3PTR by ECKERT,CATHERINE",1,three pointer,good,rhodes,catherine eckert,3,337
40,22,rhodes,Centre College,Rhodes,56-65,56,65,"7, 12, 18, 19, 56","18, 12, 11, 24, 65",7,12,18,19,56,18,12,11,24,65,"5-17, 3-8 SAA","12-10, 6-5 SAA",02/12/16,Lose,321,No Location Recorded,6:00 PM,A,40,--,,,,,"ASSIST  by SMITH,BLAIRE",,,"ASSIST  by SMITH,BLAIRE",1,assist,,rhodes,blaire smith,,
41,22,rhodes,Centre College,Rhodes,56-65,56,65,"7, 12, 18, 19, 56","18, 12, 11, 24, 65",7,12,18,19,56,18,12,11,24,65,"5-17, 3-8 SAA","12-10, 6-5 SAA",02/12/16,Lose,321,No Location Recorded,6:00 PM,A,41,05:12,,,,,"FOUL  by ORTH,HANNAH",,,"FOUL  by ORTH,HANNAH",1,foul,,rhodes,hannah orth,,312
42,22,rhodes,Centre College,Rhodes,56-65,56,65,"7, 12, 18, 19, 56","18, 12, 11, 24, 65",7,12,18,19,56,18,12,11,24,65,"5-17, 3-8 SAA","12-10, 6-5 SAA",02/12/16,Lose,321,No Location Recorded,6:00 PM,A,42,05:12,,,,,"SUB IN by DEERY,ERIN",,,"SUB IN by DEERY,ERIN",1,subbing in,,rhodes,erin deery,,312
43,22,rhodes,Centre College,Rhodes,56-65,56,65,"7, 12, 18, 19, 56","18, 12, 11, 24, 65",7,12,18,19,56,18,12,11,24,65,"5-17, 3-8 SAA","12-10, 6-5 SAA",02/12/16,Lose,321,No Location Recorded,6:00 PM,A,43,05:12,,,,,"SUB OUT by ORTH,HANNAH",,,"SUB OUT by ORTH,HANNAH",1,subbing out,,rhodes,hannah orth,,312
44,22,rhodes,Centre College,Rhodes,56-65,56,65,"7, 12, 18, 19, 56","18, 12, 11, 24, 65",7,12,18,19,56,18,12,11,24,65,"5-17, 3-8 SAA","12-10, 6-5 SAA",02/12/16,Lose,321,No Location Recorded,6:00 PM,A,44,05:04,"TURNOVER  by KELLAM,PAIGE",,,,,,,"TURNOVER  by KELLAM,PAIGE",1,turnover,,Centre,paige kellam,,304
45,22,rhodes,Centre College,Rhodes,56-65,56,65,"7, 12, 18, 19, 56","18, 12, 11, 24, 65",7,12,18,19,56,18,12,11,24,65,"5-17, 3-8 SAA","12-10, 6-5 SAA",02/12/16,Lose,321,No Location Recorded,6:00 PM,A,45,04:58,,,,,"MISS JUMPER by KRAMER,BAILEY",,,"MISS JUMPER by KRAMER,BAILEY",1,jumper,missed,rhodes,bailey kramer,,298
