,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENW,Away Team Score,Play Team Indicator,Home Team Score,BCW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
24,18,berry,Centre,Berry College,63-52,63,52,"9, 19, 18, 17, 63","14, 13, 12, 13, 52",9,19,18,17,63,14,13,12,13,52,"5-13, 3-4","7-11, 1-6",01/29/16,Win,300,No Location Recorded,6 p.m.,A,24,06:57,,,,,"TURNOVER  by SMITH,IMANI",,,"TURNOVER  by SMITH,IMANI",1,turnover,,berry college,imani smith,,417
25,18,berry,Centre,Berry College,63-52,63,52,"9, 19, 18, 17, 63","14, 13, 12, 13, 52",9,19,18,17,63,14,13,12,13,52,"5-13, 3-4","7-11, 1-6",01/29/16,Win,300,No Location Recorded,6 p.m.,A,25,06:43,"TURNOVER  by GUY,ALEXIS",,,,,,,"TURNOVER  by GUY,ALEXIS",1,turnover,,Centre,alexis guy,,403
26,18,berry,Centre,Berry College,63-52,63,52,"9, 19, 18, 17, 63","14, 13, 12, 13, 52",9,19,18,17,63,14,13,12,13,52,"5-13, 3-4","7-11, 1-6",01/29/16,Win,300,No Location Recorded,6 p.m.,A,26,06:27,,2,,6 (+4),"GOOD LAYUP by CASEY,MEGAN(in the paint)",BCW 2-6 (-4),,"GOOD LAYUP by CASEY,MEGAN(in the paint)",1,layup,good,berry college,megan casey,2,387
27,18,berry,Centre,Berry College,63-52,63,52,"9, 19, 18, 17, 63","14, 13, 12, 13, 52",9,19,18,17,63,14,13,12,13,52,"5-13, 3-4","7-11, 1-6",01/29/16,Win,300,No Location Recorded,6 p.m.,A,27,--,,,,,"ASSIST  by LYNCH,ROSIE",,,"ASSIST  by LYNCH,ROSIE",1,assist,,berry college,rosie lynch,,
28,18,berry,Centre,Berry College,63-52,63,52,"9, 19, 18, 17, 63","14, 13, 12, 13, 52",9,19,18,17,63,14,13,12,13,52,"5-13, 3-4","7-11, 1-6",01/29/16,Win,300,No Location Recorded,6 p.m.,A,28,05:57,"MISS LAYUP by STEWART,ABIGAIL",,,,,,,"MISS LAYUP by STEWART,ABIGAIL",1,layup,missed,Centre,abigail stewart,,357
29,18,berry,Centre,Berry College,63-52,63,52,"9, 19, 18, 17, 63","14, 13, 12, 13, 52",9,19,18,17,63,14,13,12,13,52,"5-13, 3-4","7-11, 1-6",01/29/16,Win,300,No Location Recorded,6 p.m.,A,29,--,,,,,"REBOUND DEF by SMITH,IMANI",,,"REBOUND DEF by SMITH,IMANI",1,defensive rebound,,berry college,imani smith,,
30,18,berry,Centre,Berry College,63-52,63,52,"9, 19, 18, 17, 63","14, 13, 12, 13, 52",9,19,18,17,63,14,13,12,13,52,"5-13, 3-4","7-11, 1-6",01/29/16,Win,300,No Location Recorded,6 p.m.,A,30,05:47,"FOUL  by RHULE,BONNIE",,,,,,,"FOUL  by RHULE,BONNIE",1,foul,,Centre,bonnie rhule,,347
31,18,berry,Centre,Berry College,63-52,63,52,"9, 19, 18, 17, 63","14, 13, 12, 13, 52",9,19,18,17,63,14,13,12,13,52,"5-13, 3-4","7-11, 1-6",01/29/16,Win,300,No Location Recorded,6 p.m.,A,31,05:47,"SUB IN by JUDY,MICHELE",,,,,,,"SUB IN by JUDY,MICHELE",1,subbing in,,Centre,michele judy,,347
32,18,berry,Centre,Berry College,63-52,63,52,"9, 19, 18, 17, 63","14, 13, 12, 13, 52",9,19,18,17,63,14,13,12,13,52,"5-13, 3-4","7-11, 1-6",01/29/16,Win,300,No Location Recorded,6 p.m.,A,32,05:47,"SUB IN by VANCE,DAY",,,,,,,"SUB IN by VANCE,DAY",1,subbing in,,Centre,day vance,,347
33,18,berry,Centre,Berry College,63-52,63,52,"9, 19, 18, 17, 63","14, 13, 12, 13, 52",9,19,18,17,63,14,13,12,13,52,"5-13, 3-4","7-11, 1-6",01/29/16,Win,300,No Location Recorded,6 p.m.,A,33,05:47,"SUB IN by ANDREASSEN,CAROLINE",,,,,,,"SUB IN by ANDREASSEN,CAROLINE",1,subbing in,,Centre,caroline andreassen,,347
34,18,berry,Centre,Berry College,63-52,63,52,"9, 19, 18, 17, 63","14, 13, 12, 13, 52",9,19,18,17,63,14,13,12,13,52,"5-13, 3-4","7-11, 1-6",01/29/16,Win,300,No Location Recorded,6 p.m.,A,34,05:47,"SUB IN by GUY,ALEXIS",,,,,,,"SUB IN by GUY,ALEXIS",1,subbing in,,Centre,alexis guy,,347
35,18,berry,Centre,Berry College,63-52,63,52,"9, 19, 18, 17, 63","14, 13, 12, 13, 52",9,19,18,17,63,14,13,12,13,52,"5-13, 3-4","7-11, 1-6",01/29/16,Win,300,No Location Recorded,6 p.m.,A,35,05:47,"SUB IN by KELLAM,PAIGE",,,,,,,"SUB IN by KELLAM,PAIGE",1,subbing in,,Centre,paige kellam,,347
36,18,berry,Centre,Berry College,63-52,63,52,"9, 19, 18, 17, 63","14, 13, 12, 13, 52",9,19,18,17,63,14,13,12,13,52,"5-13, 3-4","7-11, 1-6",01/29/16,Win,300,No Location Recorded,6 p.m.,A,36,05:47,"SUB OUT by STEWART,ABIGAIL",,,,,,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,347
37,18,berry,Centre,Berry College,63-52,63,52,"9, 19, 18, 17, 63","14, 13, 12, 13, 52",9,19,18,17,63,14,13,12,13,52,"5-13, 3-4","7-11, 1-6",01/29/16,Win,300,No Location Recorded,6 p.m.,A,37,05:47,"SUB OUT by ALFORD,OLIVIA",,,,,,,"SUB OUT by ALFORD,OLIVIA",1,subbing out,,Centre,olivia alford,,347
