,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
33,12,sewanee,Sewanee,Centre,64-59,64,59,"17, 18, 12, 17, 64","8, 13, 18, 20, 59",17,18,12,17,64,8,13,18,20,59,"3-9, 1-0 SAA","8-4, 0-1 SAA",01/03/16,Win,215,No Location Recorded,1:00 PM,H,33,05:40,,,,,"TURNOVER  by RHULE,BONNIE",,,"TURNOVER  by RHULE,BONNIE",1,turnover,,Centre,bonnie rhule,,340
34,12,sewanee,Sewanee,Centre,64-59,64,59,"17, 18, 12, 17, 64","8, 13, 18, 20, 59",17,18,12,17,64,8,13,18,20,59,"3-9, 1-0 SAA","8-4, 0-1 SAA",01/03/16,Win,215,No Location Recorded,1:00 PM,H,34,05:40,"STEAL  by WAYNE,KATIE",,,,,,,"STEAL  by WAYNE,KATIE",1,steal,,sewanee,,,340
35,12,sewanee,Sewanee,Centre,64-59,64,59,"17, 18, 12, 17, 64","8, 13, 18, 20, 59",17,18,12,17,64,8,13,18,20,59,"3-9, 1-0 SAA","8-4, 0-1 SAA",01/03/16,Win,215,No Location Recorded,1:00 PM,H,35,05:40,,,,,"FOUL  by SCHAD,OLIVIA",,,"FOUL  by SCHAD,OLIVIA",1,foul,,Centre,olivia schad,,340
36,12,sewanee,Sewanee,Centre,64-59,64,59,"17, 18, 12, 17, 64","8, 13, 18, 20, 59",17,18,12,17,64,8,13,18,20,59,"3-9, 1-0 SAA","8-4, 0-1 SAA",01/03/16,Win,215,No Location Recorded,1:00 PM,H,36,05:40,"SUB IN by KIM,SUE",,,,,,,"SUB IN by KIM,SUE",1,subbing in,,sewanee,sue kim,,340
37,12,sewanee,Sewanee,Centre,64-59,64,59,"17, 18, 12, 17, 64","8, 13, 18, 20, 59",17,18,12,17,64,8,13,18,20,59,"3-9, 1-0 SAA","8-4, 0-1 SAA",01/03/16,Win,215,No Location Recorded,1:00 PM,H,37,05:40,"SUB IN by O'CONNELL,OLIVIA",,,,,,,"SUB IN by O'CONNELL,OLIVIA",1,subbing in,,sewanee,olivia o'connell,,340
38,12,sewanee,Sewanee,Centre,64-59,64,59,"17, 18, 12, 17, 64","8, 13, 18, 20, 59",17,18,12,17,64,8,13,18,20,59,"3-9, 1-0 SAA","8-4, 0-1 SAA",01/03/16,Win,215,No Location Recorded,1:00 PM,H,38,05:40,"SUB OUT by MCDONOUGH,HALEY",,,,,,,"SUB OUT by MCDONOUGH,HALEY",1,subbing out,,sewanee,haley mcdonough,,340
39,12,sewanee,Sewanee,Centre,64-59,64,59,"17, 18, 12, 17, 64","8, 13, 18, 20, 59",17,18,12,17,64,8,13,18,20,59,"3-9, 1-0 SAA","8-4, 0-1 SAA",01/03/16,Win,215,No Location Recorded,1:00 PM,H,39,05:40,"SUB OUT by TAYLOR,BELLA",,,,,,,"SUB OUT by TAYLOR,BELLA",1,subbing out,,sewanee,bella taylor,,340
40,12,sewanee,Sewanee,Centre,64-59,64,59,"17, 18, 12, 17, 64","8, 13, 18, 20, 59",17,18,12,17,64,8,13,18,20,59,"3-9, 1-0 SAA","8-4, 0-1 SAA",01/03/16,Win,215,No Location Recorded,1:00 PM,H,40,05:40,,,,,"SUB IN by JUDY,MICHELE",,,"SUB IN by JUDY,MICHELE",1,subbing in,,Centre,michele judy,,340
41,12,sewanee,Sewanee,Centre,64-59,64,59,"17, 18, 12, 17, 64","8, 13, 18, 20, 59",17,18,12,17,64,8,13,18,20,59,"3-9, 1-0 SAA","8-4, 0-1 SAA",01/03/16,Win,215,No Location Recorded,1:00 PM,H,41,05:40,,,,,"SUB IN by VANCE,DAY",,,"SUB IN by VANCE,DAY",1,subbing in,,Centre,day vance,,340
42,12,sewanee,Sewanee,Centre,64-59,64,59,"17, 18, 12, 17, 64","8, 13, 18, 20, 59",17,18,12,17,64,8,13,18,20,59,"3-9, 1-0 SAA","8-4, 0-1 SAA",01/03/16,Win,215,No Location Recorded,1:00 PM,H,42,05:40,,,,,"SUB IN by ANDREASSEN,CAROLINE",,,"SUB IN by ANDREASSEN,CAROLINE",1,subbing in,,Centre,caroline andreassen,,340
