,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,OUW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
23,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,23,07:37,,,,,"SUB IN by KELLAM,PAIGE",,,"SUB IN by KELLAM,PAIGE",1,subbing in,,Centre,paige kellam,,457
24,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,24,07:37,,,,,"SUB OUT by SCHAD,OLIVIA",,,"SUB OUT by SCHAD,OLIVIA",1,subbing out,,Centre,olivia schad,,457
25,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,25,07:31,,4 (+2),,2,"GOOD LAYUP by STEWART,ABIGAIL(in the paint)",CENTRE-W 4-2 (-2),,"GOOD LAYUP by STEWART,ABIGAIL(in the paint)",1,layup,good,Centre,abigail stewart,2,451
26,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,26,--,,,,,"ASSIST  by MCKNIGHT,KAITLYN",,,"ASSIST  by MCKNIGHT,KAITLYN",1,assist,,Centre,kaitlyn mcknight,,
27,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,27,07:13,"MISS 3PTR by FORTSON,MCKENZIE",,,,,,,"MISS 3PTR by FORTSON,MCKENZIE",1,three pointer,missed,oglethorpe,mckenzie fortson,,433
28,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,28,--,,,,,"REBOUND DEF by KELLAM,PAIGE",,,"REBOUND DEF by KELLAM,PAIGE",1,defensive rebound,,Centre,paige kellam,,
29,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,29,07:01,,,,,"MISS JUMPER by STEWART,ABIGAIL",,,"MISS JUMPER by STEWART,ABIGAIL",1,jumper,missed,Centre,abigail stewart,,421
30,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,30,--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
31,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,31,06:58,,,,,"TURNOVER  by RHULE,BONNIE",,,"TURNOVER  by RHULE,BONNIE",1,turnover,,Centre,bonnie rhule,,418
32,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,32,06:58,"STEAL  by FOLTZ,MADI",,,,,,,"STEAL  by FOLTZ,MADI",1,steal,,oglethorpe,,,418
33,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,33,06:56,,,,,"FOUL  by RHULE,BONNIE",,,"FOUL  by RHULE,BONNIE",1,foul,,Centre,bonnie rhule,,416
34,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,34,06:45,"TURNOVER  by FOLTZ,MADI",,,,,,,"TURNOVER  by FOLTZ,MADI",1,turnover,,oglethorpe,madi foltz,,405
35,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,35,06:43,,,,,"STEAL  by GUY,ALEXIS",,,"STEAL  by GUY,ALEXIS",1,steal,,Centre,,,403
36,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,36,06:40,,,,,"MISS LAYUP by GUY,ALEXIS",,,"MISS LAYUP by GUY,ALEXIS",1,layup,missed,Centre,alexis guy,,400
37,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,37,--,,,,,"REBOUND OFF by GUY,ALEXIS",,,"REBOUND OFF by GUY,ALEXIS",1,offensive rebound,,Centre,alexis guy,,
38,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,38,06:38,,4,,4,"GOOD LAYUP by GUY,ALEXIS(in the paint)",CENTRE-W 4-4 (0),,"GOOD LAYUP by GUY,ALEXIS(in the paint)",1,layup,good,Centre,alexis guy,2,398
39,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,39,06:16,"MISS 3PTR by BUCK,EMILY",,,,,,,"MISS 3PTR by BUCK,EMILY",1,three pointer,missed,oglethorpe,emily buck,,376
40,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,40,--,,,,,"REBOUND DEF by KELLAM,PAIGE",,,"REBOUND DEF by KELLAM,PAIGE",1,defensive rebound,,Centre,paige kellam,,
41,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,41,06:12,"FOUL  by BUCK,EMILY",,,,,,,"FOUL  by BUCK,EMILY",1,foul,,oglethorpe,emily buck,,372
42,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,42,06:12,"SUB IN by SIMPSON,BROOKE",,,,,,,"SUB IN by SIMPSON,BROOKE",1,subbing in,,oglethorpe,brooke simpson,,372
43,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,43,06:12,"SUB OUT by FOLTZ,MADI",,,,,,,"SUB OUT by FOLTZ,MADI",1,subbing out,,oglethorpe,madi foltz,,372
44,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,44,06:12,,,,,"SUB IN by VANCE,DAY",,,"SUB IN by VANCE,DAY",1,subbing in,,Centre,day vance,,372
45,25,oglethorpe,Oglethorpe,Centre,57-52,57,52,"9, 17, 15, 16, 57","13, 7, 13, 19, 52",9,17,15,16,57,13,7,13,19,52,"7-18, 5-9 SAA","12-13, 6-8 SAA",02/21/16,Win,856,No Location Recorded,1:00 PM,H,45,06:12,,,,,"SUB IN by ANDREASSEN,CAROLINE",,,"SUB IN by ANDREASSEN,CAROLINE",1,subbing in,,Centre,caroline andreassen,,372
