,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
44,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,44,14:45,,,,,"MISS JUMPER by BENHAM,CHELSEA",,,"MISS JUMPER by BENHAM,CHELSEA",1,jumper,missed,Centre,chelsea benham,,885
45,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,45,--,,,,,"REBOUND OFF by STOUGH,MARY",,,"REBOUND OFF by STOUGH,MARY",1,offensive rebound,,Centre,mary stough,,
46,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,46,14:42,,7,,8 (+1),"GOOD LAYUP by STOUGH,MARY(in the paint)",CENTRE_W 7-8 (+1),,"GOOD LAYUP by STOUGH,MARY(in the paint)",1,layup,good,Centre,mary stough,2,882
47,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,47,14:39,"FOUL  by MCNEILL,KAITLIN",,,,,,,"FOUL  by MCNEILL,KAITLIN",1,foul,,hendrixw,kaitlin mcneill,,879
48,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,48,14:39,,7,,9 (+2),"GOOD FT by STOUGH,MARY",CENTRE_W 7-9 (+2),,"GOOD FT by STOUGH,MARY",1,free throw,good,Centre,mary stough,1,879
49,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,49,14:39,,,,,"SUB IN by BAECHLE,PAIGE",,,"SUB IN by BAECHLE,PAIGE",1,subbing in,,Centre,paige baechle,,879
50,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,50,14:39,,,,,"SUB IN by GUY,ALEXIS",,,"SUB IN by GUY,ALEXIS",1,subbing in,,Centre,alexis guy,,879
51,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,51,14:39,,,,,"SUB IN by WINSTEAD,MARY",,,"SUB IN by WINSTEAD,MARY",1,subbing in,,Centre,mary winstead,,879
52,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,52,14:39,,,,,"SUB IN by MOORE,HILLARY",,,"SUB IN by MOORE,HILLARY",1,subbing in,,Centre,hillary moore,,879
53,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,53,14:39,,,,,"SUB OUT by MIRE,JENNA",,,"SUB OUT by MIRE,JENNA",1,subbing out,,Centre,jenna mire,,879
54,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,54,14:39,,,,,"SUB OUT by BENHAM,CHELSEA",,,"SUB OUT by BENHAM,CHELSEA",1,subbing out,,Centre,chelsea benham,,879
55,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,55,14:39,,,,,"SUB OUT by HARTLAGE,MAGGIE",,,"SUB OUT by HARTLAGE,MAGGIE",1,subbing out,,Centre,maggie hartlage,,879
56,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,56,14:39,,,,,"SUB OUT by WINSTEAD,BRIDGET",,,"SUB OUT by WINSTEAD,BRIDGET",1,subbing out,,Centre,bridget winstead,,879
57,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,57,14:11,"GOOD 3PTR by FLORES,ESTRELLA",10 (+1),,9,,HC 10-9 (-1),,"GOOD 3PTR by FLORES,ESTRELLA",1,three pointer,good,hendrixw,estrella flores,3,851
58,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,58,14:07,,,,,"TURNOVER  by GUY,ALEXIS",,,"TURNOVER  by GUY,ALEXIS",1,turnover,,Centre,alexis guy,,847
59,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,59,14:05,"STEAL  by KRIESEL-BIGLER,CAIT",,,,,,,"STEAL  by KRIESEL-BIGLER,CAIT",1,steal,,hendrixw,,,845
60,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,60,14:00,"MISS JUMPER by KRIESEL-BIGLER,CAIT",,,,,,,"MISS JUMPER by KRIESEL-BIGLER,CAIT",1,jumper,missed,hendrixw,cait kriesel-bigler,,840
61,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,61,--,"REBOUND OFF by FLORES,ESTRELLA",,,,,,,"REBOUND OFF by FLORES,ESTRELLA",1,offensive rebound,,hendrixw,estrella flores,,
62,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,62,13:57,"GOOD LAYUP by FLORES,ESTRELLA(in the paint)",12 (+3),,9,,HC 12-9 (-3),,"GOOD LAYUP by FLORES,ESTRELLA(in the paint)",1,layup,good,hendrixw,estrella flores,2,837
63,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,63,13:55,"SUB IN by FLORES,ESTRELLA",,,,,,,"SUB IN by FLORES,ESTRELLA",1,subbing in,,hendrixw,estrella flores,,835
64,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,64,13:55,"SUB OUT by TATE,JAMIE",,,,,,,"SUB OUT by TATE,JAMIE",1,subbing out,,hendrixw,jamie tate,,835
65,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,65,13:45,,12 (+1),,11,"GOOD JUMPER by GUY,ALEXIS",CENTRE_W 12-11 (-1),,"GOOD JUMPER by GUY,ALEXIS",1,jumper,good,Centre,alexis guy,2,825
66,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,66,13:28,"TURNOVER  by KRIESEL-BIGLER,CAIT",,,,,,,"TURNOVER  by KRIESEL-BIGLER,CAIT",1,turnover,,hendrixw,cait kriesel-bigler,,808
67,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,67,13:26,,,,,"STEAL  by MOORE,HILLARY",,,"STEAL  by MOORE,HILLARY",1,steal,,Centre,,,806
68,25,hendrix,HENDRIXW,CENTRE~2,68-69,68,69,"30, 32, 6, 68","32, 30, 7, 69",30,32,6,68,32,30,7,69,14-11,5-21,02/22/13,Lose,200,No Location Recorded,8 p.m.,H,68,13:17,,12,,13 (+1),"GOOD LAYUP by STOUGH,MARY(in the paint)",CENTRE_W 12-13 (+1),,"GOOD LAYUP by STOUGH,MARY(in the paint)",1,layup,good,Centre,mary stough,2,797
