,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,AC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
26,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,26,16:29,,7 (+1),,6,"GOOD 3PTR by DOWNS,DORIAN",AC 7-6 (+1),,"GOOD 3PTR by DOWNS,DORIAN",1,three pointer,good,asbury (ky.),dorian downs,3,989
27,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,27,--,,,,,"ASSIST  by CARROLL,LAURA",,,"ASSIST  by CARROLL,LAURA",1,assist,,asbury (ky.),laura carroll,,
28,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,28,16:23,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1,timeout,,Centre,,,983
29,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,29,16:23,"SUB IN by STOUGH,MARY",,,,,,,"SUB IN by STOUGH,MARY",1,subbing in,,Centre,mary stough,,983
30,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,30,16:23,"SUB IN by GUY,ALANNA",,,,,,,"SUB IN by GUY,ALANNA",1,subbing in,,Centre,alanna guy,,983
31,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,31,16:23,"SUB OUT by BENHAM,CHELSEA",,,,,,,"SUB OUT by BENHAM,CHELSEA",1,subbing out,,Centre,chelsea benham,,983
32,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,32,16:23,"SUB OUT by MIRE,JENNA",,,,,,,"SUB OUT by MIRE,JENNA",1,subbing out,,Centre,jenna mire,,983
33,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,33,16:05,"GOOD 3PTR by HARTLAGE,MAGGIE",10 (+4),,6,,CENTRE_W 10-6 (+4),,"GOOD 3PTR by HARTLAGE,MAGGIE",1,three pointer,good,Centre,maggie hartlage,3,965
34,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,34,--,"ASSIST  by STOUGH,MARY",,,,,,,"ASSIST  by STOUGH,MARY",1,assist,,Centre,mary stough,,
35,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,35,15:57,,,,,"MISS JUMPER by CARROLL,LAURA",,,"MISS JUMPER by CARROLL,LAURA",1,jumper,missed,asbury (ky.),laura carroll,,957
36,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,36,--,,,,,"REBOUND OFF by WOOD,ANNISSIA",,,"REBOUND OFF by WOOD,ANNISSIA",1,offensive rebound,,asbury (ky.),annissia wood,,
37,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,37,15:50,"FOUL  by WINSTEAD,BRIDGET",,,,,,,"FOUL  by WINSTEAD,BRIDGET",1,foul,,Centre,bridget winstead,,950
38,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,38,15:50,"SUB IN by MOORE,HILLARY",,,,,,,"SUB IN by MOORE,HILLARY",1,subbing in,,Centre,hillary moore,,950
39,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,39,15:50,"SUB OUT by WINSTEAD,BRIDGET",,,,,,,"SUB OUT by WINSTEAD,BRIDGET",1,subbing out,,Centre,bridget winstead,,950
40,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,40,15:50,,,,,"SUB IN by RINEHART,KELLI",,,"SUB IN by RINEHART,KELLI",1,subbing in,,asbury (ky.),kelli rinehart,,950
41,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,41,15:50,,,,,"SUB OUT by GRIFFITH,LAKIN",,,"SUB OUT by GRIFFITH,LAKIN",1,subbing out,,asbury (ky.),lakin griffith,,950
42,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,42,15:46,,,,,"MISS JUMPER by BARBEE,TRENIA",,,"MISS JUMPER by BARBEE,TRENIA",1,jumper,missed,asbury (ky.),trenia barbee,,946
43,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,43,--,"REBOUND DEF by BAECHLE,PAIGE",,,,,,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
44,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,44,15:45,,,,,"SUB IN by GORBY,KYLEE",,,"SUB IN by GORBY,KYLEE",1,subbing in,,asbury (ky.),kylee gorby,,945
45,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,45,15:45,,,,,"SUB OUT by CARROLL,LAURA",,,"SUB OUT by CARROLL,LAURA",1,subbing out,,asbury (ky.),laura carroll,,945
46,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,46,15:18,,,,,"FOUL  by WOOD,ANNISSIA",,,"FOUL  by WOOD,ANNISSIA",1,foul,,asbury (ky.),annissia wood,,918
47,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,47,15:18,"GOOD FT by MOORE,HILLARY",11 (+5),,6,,CENTRE_W 11-6 (+5),,"GOOD FT by MOORE,HILLARY",1,free throw,good,Centre,hillary moore,1,918
