,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,CAPW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
27,4,capital,Centre,Capital,54-72,54,72,"28, 26, 54","34, 38, 72",28,26,54,34,38,72,1-3,3-1,11/23/12,Lose,206,No Location Recorded,5 p.m.,A,27,17:02,"MISS LAYUP by BAECHLE,PAIGE",,,,,,,"MISS LAYUP by BAECHLE,PAIGE",1,layup,missed,Centre,paige baechle,,1022
28,4,capital,Centre,Capital,54-72,54,72,"28, 26, 54","34, 38, 72",28,26,54,34,38,72,1-3,3-1,11/23/12,Lose,206,No Location Recorded,5 p.m.,A,28,17:02,,,,,"BLOCK  by CATON,JAMIE",,,"BLOCK  by CATON,JAMIE",1,block,,capital,jamie caton,,1022
29,4,capital,Centre,Capital,54-72,54,72,"28, 26, 54","34, 38, 72",28,26,54,34,38,72,1-3,3-1,11/23/12,Lose,206,No Location Recorded,5 p.m.,A,29,--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
30,4,capital,Centre,Capital,54-72,54,72,"28, 26, 54","34, 38, 72",28,26,54,34,38,72,1-3,3-1,11/23/12,Lose,206,No Location Recorded,5 p.m.,A,30,17:02,,,,,"SUB IN by GAGE,SIMONNE",,,"SUB IN by GAGE,SIMONNE",1,subbing in,,capital,simonne gage,,1022
31,4,capital,Centre,Capital,54-72,54,72,"28, 26, 54","34, 38, 72",28,26,54,34,38,72,1-3,3-1,11/23/12,Lose,206,No Location Recorded,5 p.m.,A,31,17:02,,,,,"SUB OUT by HECKMAN,MONICA",,,"SUB OUT by HECKMAN,MONICA",1,subbing out,,capital,monica heckman,,1022
32,4,capital,Centre,Capital,54-72,54,72,"28, 26, 54","34, 38, 72",28,26,54,34,38,72,1-3,3-1,11/23/12,Lose,206,No Location Recorded,5 p.m.,A,32,17:00,"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",9 (+2),,7,,CENTRE_W 9-7 (+2),,"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",1,layup,good,Centre,paige baechle,2,1020
33,4,capital,Centre,Capital,54-72,54,72,"28, 26, 54","34, 38, 72",28,26,54,34,38,72,1-3,3-1,11/23/12,Lose,206,No Location Recorded,5 p.m.,A,33,--,"ASSIST  by GUY,ALANNA",,,,,,,"ASSIST  by GUY,ALANNA",1,assist,,Centre,alanna guy,,
34,4,capital,Centre,Capital,54-72,54,72,"28, 26, 54","34, 38, 72",28,26,54,34,38,72,1-3,3-1,11/23/12,Lose,206,No Location Recorded,5 p.m.,A,34,16:41,,,,,"MISS JUMPER by GEROSKI,COOKIE",,,"MISS JUMPER by GEROSKI,COOKIE",1,jumper,missed,capital,cookie geroski,,1001
35,4,capital,Centre,Capital,54-72,54,72,"28, 26, 54","34, 38, 72",28,26,54,34,38,72,1-3,3-1,11/23/12,Lose,206,No Location Recorded,5 p.m.,A,35,--,"REBOUND DEF by HARTLAGE,MAGGIE",,,,,,,"REBOUND DEF by HARTLAGE,MAGGIE",1,defensive rebound,,Centre,maggie hartlage,,
36,4,capital,Centre,Capital,54-72,54,72,"28, 26, 54","34, 38, 72",28,26,54,34,38,72,1-3,3-1,11/23/12,Lose,206,No Location Recorded,5 p.m.,A,36,16:34,"TURNOVER  by WINSTEAD,BRIDGET",,,,,,,"TURNOVER  by WINSTEAD,BRIDGET",1,turnover,,Centre,bridget winstead,,994
37,4,capital,Centre,Capital,54-72,54,72,"28, 26, 54","34, 38, 72",28,26,54,34,38,72,1-3,3-1,11/23/12,Lose,206,No Location Recorded,5 p.m.,A,37,16:34,"SUB IN by MOORE,HILLARY",,,,,,,"SUB IN by MOORE,HILLARY",1,subbing in,,Centre,hillary moore,,994
38,4,capital,Centre,Capital,54-72,54,72,"28, 26, 54","34, 38, 72",28,26,54,34,38,72,1-3,3-1,11/23/12,Lose,206,No Location Recorded,5 p.m.,A,38,16:34,"SUB OUT by WINSTEAD,BRIDGET",,,,,,,"SUB OUT by WINSTEAD,BRIDGET",1,subbing out,,Centre,bridget winstead,,994
39,4,capital,Centre,Capital,54-72,54,72,"28, 26, 54","34, 38, 72",28,26,54,34,38,72,1-3,3-1,11/23/12,Lose,206,No Location Recorded,5 p.m.,A,39,16:21,,,,,"MISS 3PTR by GEROSKI,COOKIE",,,"MISS 3PTR by GEROSKI,COOKIE",1,three pointer,missed,capital,cookie geroski,,981
40,4,capital,Centre,Capital,54-72,54,72,"28, 26, 54","34, 38, 72",28,26,54,34,38,72,1-3,3-1,11/23/12,Lose,206,No Location Recorded,5 p.m.,A,40,--,"REBOUND DEF by MOORE,HILLARY",,,,,,,"REBOUND DEF by MOORE,HILLARY",1,defensive rebound,,Centre,hillary moore,,
