,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,HANOVER,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
25,10,hanover,HANOVER,CENTRE,77-80,77,80,"56, 13, 8, 77","31, 38, 11, 80",56,13,8,77,31,38,11,80,6-4,4-6,12/28/12,Lose,96,No Location Recorded,1 p.m.,H,25,17:07,,10 (+3),,7,"GOOD JUMPER by BENHAM,CHELSEA(in the paint)",CENTRE_W 10-7 (-3),,"GOOD JUMPER by BENHAM,CHELSEA(in the paint)",1,jumper,good,Centre,chelsea benham,2,1027
26,10,hanover,HANOVER,CENTRE,77-80,77,80,"56, 13, 8, 77","31, 38, 11, 80",56,13,8,77,31,38,11,80,6-4,4-6,12/28/12,Lose,96,No Location Recorded,1 p.m.,H,26,--,,,,,"ASSIST  by WINSTEAD,BRIDGET",,,"ASSIST  by WINSTEAD,BRIDGET",1,assist,,Centre,bridget winstead,,
27,10,hanover,HANOVER,CENTRE,77-80,77,80,"56, 13, 8, 77","31, 38, 11, 80",56,13,8,77,31,38,11,80,6-4,4-6,12/28/12,Lose,96,No Location Recorded,1 p.m.,H,27,16:42,"TURNOVER  by BISCHOFF,CAITLIN",,,,,,,"TURNOVER  by BISCHOFF,CAITLIN",1,turnover,,hanover,caitlin bischoff,,1002
28,10,hanover,HANOVER,CENTRE,77-80,77,80,"56, 13, 8, 77","31, 38, 11, 80",56,13,8,77,31,38,11,80,6-4,4-6,12/28/12,Lose,96,No Location Recorded,1 p.m.,H,28,16:42,,,,,"SUB IN by STOUGH,MARY",,,"SUB IN by STOUGH,MARY",1,subbing in,,Centre,mary stough,,1002
29,10,hanover,HANOVER,CENTRE,77-80,77,80,"56, 13, 8, 77","31, 38, 11, 80",56,13,8,77,31,38,11,80,6-4,4-6,12/28/12,Lose,96,No Location Recorded,1 p.m.,H,29,16:42,,,,,"SUB IN by MOORE,HILLARY",,,"SUB IN by MOORE,HILLARY",1,subbing in,,Centre,hillary moore,,1002
30,10,hanover,HANOVER,CENTRE,77-80,77,80,"56, 13, 8, 77","31, 38, 11, 80",56,13,8,77,31,38,11,80,6-4,4-6,12/28/12,Lose,96,No Location Recorded,1 p.m.,H,30,16:42,,,,,"SUB IN by WINSTEAD,MARY",,,"SUB IN by WINSTEAD,MARY",1,subbing in,,Centre,mary winstead,,1002
31,10,hanover,HANOVER,CENTRE,77-80,77,80,"56, 13, 8, 77","31, 38, 11, 80",56,13,8,77,31,38,11,80,6-4,4-6,12/28/12,Lose,96,No Location Recorded,1 p.m.,H,31,16:42,,,,,"SUB OUT by WINSTEAD,BRIDGET",,,"SUB OUT by WINSTEAD,BRIDGET",1,subbing out,,Centre,bridget winstead,,1002
32,10,hanover,HANOVER,CENTRE,77-80,77,80,"56, 13, 8, 77","31, 38, 11, 80",56,13,8,77,31,38,11,80,6-4,4-6,12/28/12,Lose,96,No Location Recorded,1 p.m.,H,32,16:42,,,,,"SUB OUT by BENHAM,CHELSEA",,,"SUB OUT by BENHAM,CHELSEA",1,subbing out,,Centre,chelsea benham,,1002
33,10,hanover,HANOVER,CENTRE,77-80,77,80,"56, 13, 8, 77","31, 38, 11, 80",56,13,8,77,31,38,11,80,6-4,4-6,12/28/12,Lose,96,No Location Recorded,1 p.m.,H,33,16:42,,,,,"SUB OUT by MIRE,JENNA",,,"SUB OUT by MIRE,JENNA",1,subbing out,,Centre,jenna mire,,1002
34,10,hanover,HANOVER,CENTRE,77-80,77,80,"56, 13, 8, 77","31, 38, 11, 80",56,13,8,77,31,38,11,80,6-4,4-6,12/28/12,Lose,96,No Location Recorded,1 p.m.,H,34,16:22,,10,,10,"GOOD 3PTR by HARTLAGE,MAGGIE",CENTRE_W 10-10 (0),,"GOOD 3PTR by HARTLAGE,MAGGIE",1,three pointer,good,Centre,maggie hartlage,3,982
