,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
24,14,sewanee,Sewanee-Univ. of South,Centre College,56-37,56,37,"31, 25, 56","18, 19, 37",31,25,56,18,19,37,"5-9, 3-1 SAA","5-7, 0-4 SAA",01/12/13,Win,228,No Location Recorded,1 p.m.,H,24,--,,,,,"ASSIST  by MIRE,JENNA",,,"ASSIST  by MIRE,JENNA",1,assist,,Centre,jenna mire,,
25,14,sewanee,Sewanee-Univ. of South,Centre College,56-37,56,37,"31, 25, 56","18, 19, 37",31,25,56,18,19,37,"5-9, 3-1 SAA","5-7, 0-4 SAA",01/12/13,Win,228,No Location Recorded,1 p.m.,H,25,15:54,"GOOD LAYUP by SEWELL,KAYLA(in the paint)",4,,4,,SEWANEE 4-4 (0),,"GOOD LAYUP by SEWELL,KAYLA(in the paint)",1,layup,good,sewanee-univ. of south,kayla sewell,2,954
26,14,sewanee,Sewanee-Univ. of South,Centre College,56-37,56,37,"31, 25, 56","18, 19, 37",31,25,56,18,19,37,"5-9, 3-1 SAA","5-7, 0-4 SAA",01/12/13,Win,228,No Location Recorded,1 p.m.,H,26,15:35,,,,,"TURNOVER  by BAECHLE,PAIGE",,,"TURNOVER  by BAECHLE,PAIGE",1,turnover,,Centre,paige baechle,,935
27,14,sewanee,Sewanee-Univ. of South,Centre College,56-37,56,37,"31, 25, 56","18, 19, 37",31,25,56,18,19,37,"5-9, 3-1 SAA","5-7, 0-4 SAA",01/12/13,Win,228,No Location Recorded,1 p.m.,H,27,15:33,"STEAL  by LOWE,PAIGE",,,,,,,"STEAL  by LOWE,PAIGE",1,steal,,sewanee-univ. of south,,,933
28,14,sewanee,Sewanee-Univ. of South,Centre College,56-37,56,37,"31, 25, 56","18, 19, 37",31,25,56,18,19,37,"5-9, 3-1 SAA","5-7, 0-4 SAA",01/12/13,Win,228,No Location Recorded,1 p.m.,H,28,15:26,,,,,"SUB IN by WINSTEAD,MARY",,,"SUB IN by WINSTEAD,MARY",1,subbing in,,Centre,mary winstead,,926
29,14,sewanee,Sewanee-Univ. of South,Centre College,56-37,56,37,"31, 25, 56","18, 19, 37",31,25,56,18,19,37,"5-9, 3-1 SAA","5-7, 0-4 SAA",01/12/13,Win,228,No Location Recorded,1 p.m.,H,29,15:26,,,,,"SUB IN by MOORE,HILLARY",,,"SUB IN by MOORE,HILLARY",1,subbing in,,Centre,hillary moore,,926
30,14,sewanee,Sewanee-Univ. of South,Centre College,56-37,56,37,"31, 25, 56","18, 19, 37",31,25,56,18,19,37,"5-9, 3-1 SAA","5-7, 0-4 SAA",01/12/13,Win,228,No Location Recorded,1 p.m.,H,30,15:26,,,,,"SUB IN by STOUGH,MARY",,,"SUB IN by STOUGH,MARY",1,subbing in,,Centre,mary stough,,926
31,14,sewanee,Sewanee-Univ. of South,Centre College,56-37,56,37,"31, 25, 56","18, 19, 37",31,25,56,18,19,37,"5-9, 3-1 SAA","5-7, 0-4 SAA",01/12/13,Win,228,No Location Recorded,1 p.m.,H,31,15:26,,,,,"SUB OUT by BENHAM,CHELSEA",,,"SUB OUT by BENHAM,CHELSEA",1,subbing out,,Centre,chelsea benham,,926
32,14,sewanee,Sewanee-Univ. of South,Centre College,56-37,56,37,"31, 25, 56","18, 19, 37",31,25,56,18,19,37,"5-9, 3-1 SAA","5-7, 0-4 SAA",01/12/13,Win,228,No Location Recorded,1 p.m.,H,32,15:26,,,,,"SUB OUT by WINSTEAD,BRIDGET",,,"SUB OUT by WINSTEAD,BRIDGET",1,subbing out,,Centre,bridget winstead,,926
33,14,sewanee,Sewanee-Univ. of South,Centre College,56-37,56,37,"31, 25, 56","18, 19, 37",31,25,56,18,19,37,"5-9, 3-1 SAA","5-7, 0-4 SAA",01/12/13,Win,228,No Location Recorded,1 p.m.,H,33,15:26,,,,,"SUB OUT by MIRE,JENNA",,,"SUB OUT by MIRE,JENNA",1,subbing out,,Centre,jenna mire,,926
34,14,sewanee,Sewanee-Univ. of South,Centre College,56-37,56,37,"31, 25, 56","18, 19, 37",31,25,56,18,19,37,"5-9, 3-1 SAA","5-7, 0-4 SAA",01/12/13,Win,228,No Location Recorded,1 p.m.,H,34,15:14,"MISS 3PTR by BRADFORD,DEE",,,,,,,"MISS 3PTR by BRADFORD,DEE",1,three pointer,missed,sewanee-univ. of south,dee bradford,,914
35,14,sewanee,Sewanee-Univ. of South,Centre College,56-37,56,37,"31, 25, 56","18, 19, 37",31,25,56,18,19,37,"5-9, 3-1 SAA","5-7, 0-4 SAA",01/12/13,Win,228,No Location Recorded,1 p.m.,H,35,--,,,,,"REBOUND DEF by BAECHLE,PAIGE",,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
36,14,sewanee,Sewanee-Univ. of South,Centre College,56-37,56,37,"31, 25, 56","18, 19, 37",31,25,56,18,19,37,"5-9, 3-1 SAA","5-7, 0-4 SAA",01/12/13,Win,228,No Location Recorded,1 p.m.,H,36,14:47,,4,,6 (+2),"GOOD JUMPER by BAECHLE,PAIGE",CENTRE_W 4-6 (+2),,"GOOD JUMPER by BAECHLE,PAIGE",1,jumper,good,Centre,paige baechle,2,887
