,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,DC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
42,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,42,15:13,,,,,"SUB OUT by WINSTEAD,BRIDGET",,,"SUB OUT by WINSTEAD,BRIDGET",1,subbing out,,Centre,bridget winstead,,913
43,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,43,15:13,,,,,"SUB OUT by BAECHLE,PAIGE",,,"SUB OUT by BAECHLE,PAIGE",1,subbing out,,Centre,paige baechle,,913
44,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,44,15:13,,,,,"SUB OUT by MIRE,JENNA",,,"SUB OUT by MIRE,JENNA",1,subbing out,,Centre,jenna mire,,913
45,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,45,15:01,"TURNOVER  by FIELDS,MEGAN",,,,,,,"TURNOVER  by FIELDS,MEGAN",1,turnover,,defiance college,megan fields,,901
46,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,46,14:32,,5,,12 (+7),"GOOD LAYUP by BENHAM,CHELSEA(in the paint)",CENTRE_W 5-12 (+7),,"GOOD LAYUP by BENHAM,CHELSEA(in the paint)",1,layup,good,Centre,chelsea benham,2,872
47,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,47,14:30,"TURNOVER  by HARSHMAN,HANNAH",,,,,,,"TURNOVER  by HARSHMAN,HANNAH",1,turnover,,defiance college,hannah harshman,,870
48,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,48,14:30,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1,timeout,,Centre,,,870
49,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,49,14:07,,,,,"SUB IN by WINSTEAD,BRIDGET",,,"SUB IN by WINSTEAD,BRIDGET",1,subbing in,,Centre,bridget winstead,,847
50,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,50,14:07,,,,,"SUB OUT by HARTLAGE,MAGGIE",,,"SUB OUT by HARTLAGE,MAGGIE",1,subbing out,,Centre,maggie hartlage,,847
51,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,51,14:02,,,,,"TURNOVER  by MOORE,HILLARY",,,"TURNOVER  by MOORE,HILLARY",1,turnover,,Centre,hillary moore,,842
52,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,52,14:00,"STEAL  by CIMINILLO,RACHEL",,,,,,,"STEAL  by CIMINILLO,RACHEL",1,steal,,defiance college,,,840
53,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,53,13:35,"TURNOVER  by KING,ERICA",,,,,,,"TURNOVER  by KING,ERICA",1,turnover,,defiance college,erica king,,815
54,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,54,13:35,,,,,"STEAL  by GUY,ALANNA",,,"STEAL  by GUY,ALANNA",1,steal,,Centre,,,815
55,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,55,13:35,,,,,"SUB IN by BAECHLE,PAIGE",,,"SUB IN by BAECHLE,PAIGE",1,subbing in,,Centre,paige baechle,,815
56,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,56,13:35,,,,,"SUB OUT by BENHAM,CHELSEA",,,"SUB OUT by BENHAM,CHELSEA",1,subbing out,,Centre,chelsea benham,,815
57,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,57,13:24,,5,,15 (+10),"GOOD 3PTR by WINSTEAD,BRIDGET",CENTRE_W 5-15 (+10),,"GOOD 3PTR by WINSTEAD,BRIDGET",1,three pointer,good,Centre,bridget winstead,3,804
58,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,58,--,,,,,"ASSIST  by GUY,ALANNA",,,"ASSIST  by GUY,ALANNA",1,assist,,Centre,alanna guy,,
59,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,59,13:07,"TURNOVER  by FIELDS,MEGAN",,,,,,,"TURNOVER  by FIELDS,MEGAN",1,turnover,,defiance college,megan fields,,787
60,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,60,12:57,,,,,"MISS LAYUP by STOUGH,MARY",,,"MISS LAYUP by STOUGH,MARY",1,layup,missed,Centre,mary stough,,777
61,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,61,12:57,"BLOCK  by KATH,MARISSA",,,,,,,"BLOCK  by KATH,MARISSA",1,block,,defiance college,marissa kath,,777
62,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,62,--,"REBOUND DEF by KATH,MARISSA",,,,,,,"REBOUND DEF by KATH,MARISSA",1,defensive rebound,,defiance college,marissa kath,,
63,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,63,12:35,"TURNOVER  by KING,ERICA",,,,,,,"TURNOVER  by KING,ERICA",1,turnover,,defiance college,erica king,,755
64,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,64,12:34,,,,,"STEAL  by BAECHLE,PAIGE",,,"STEAL  by BAECHLE,PAIGE",1,steal,,Centre,,,754
65,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,65,12:30,"FOUL  by CIMINILLO,RACHEL",,,,,,,"FOUL  by CIMINILLO,RACHEL",1,foul,,defiance college,rachel ciminillo,,750
66,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,66,12:30,,5,,16 (+11),"GOOD FT by MOORE,HILLARY",CENTRE_W 5-16 (+11),,"GOOD FT by MOORE,HILLARY",1,free throw,good,Centre,hillary moore,1,750
67,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,67,12:30,,5,,17 (+12),"GOOD FT by MOORE,HILLARY",CENTRE_W 5-17 (+12),,"GOOD FT by MOORE,HILLARY",1,free throw,good,Centre,hillary moore,1,750
68,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,68,12:30,"SUB IN by ZACHRICH,MEGAN",,,,,,,"SUB IN by ZACHRICH,MEGAN",1,subbing in,,defiance college,megan zachrich,,750
69,2,defiance,Defiance College,Centre College,78-42,78,42,"45, 33, 78","16, 26, 42",45,33,78,16,26,42,1-1,0-2,11/17/12,Win,142,No Location Recorded,3:00 p.m.,H,69,12:30,"SUB OUT by KING,ERICA",,,,,,,"SUB OUT by KING,ERICA",1,subbing out,,defiance college,erica king,,750
