,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
27,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,27,16:24,"MISS LAYUP by BENHAM,CHELSEA",,,,,,,"MISS LAYUP by BENHAM,CHELSEA",1,layup,missed,Centre,chelsea benham,,984
28,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,28,--,,,,,"REBOUND DEF by MOORE,ERIN",,,"REBOUND DEF by MOORE,ERIN",1,defensive rebound,,birmingham-southern,erin moore,,
29,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,29,16:07,,,,,"MISS 3PTR by DARNALL,SYDNEY",,,"MISS 3PTR by DARNALL,SYDNEY",1,three pointer,missed,birmingham-southern,sydney darnall,,967
30,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,30,--,"REBOUND DEF by MIRE,JENNA",,,,,,,"REBOUND DEF by MIRE,JENNA",1,defensive rebound,,Centre,jenna mire,,
31,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,31,16:03,"TURNOVER  by MIRE,JENNA",,,,,,,"TURNOVER  by MIRE,JENNA",1,turnover,,Centre,jenna mire,,963
32,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,32,16:01,,,,,"STEAL  by BROMIRSKI,ELIZABETH",,,"STEAL  by BROMIRSKI,ELIZABETH",1,steal,,birmingham-southern,,,961
33,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,33,15:33,"FOUL  by BENHAM,CHELSEA",,,,,,,"FOUL  by BENHAM,CHELSEA",1,foul,,Centre,chelsea benham,,933
34,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,34,15:33,,5,,8 (+3),"GOOD FT by KING,CAROLINE",BSC 5-8 (-3),,"GOOD FT by KING,CAROLINE",1,free throw,good,birmingham-southern,caroline king,1,933
35,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,35,15:33,,,,,"MISS FT by KING,CAROLINE",,,"MISS FT by KING,CAROLINE",1,free throw,missed,birmingham-southern,caroline king,,933
36,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,36,--,"REBOUND DEF by BAECHLE,PAIGE",,,,,,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
37,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,37,15:33,"SUB IN by MOORE,HILLARY",,,,,,,"SUB IN by MOORE,HILLARY",1,subbing in,,Centre,hillary moore,,933
38,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,38,15:33,"SUB IN by WINSTEAD,MARY",,,,,,,"SUB IN by WINSTEAD,MARY",1,subbing in,,Centre,mary winstead,,933
39,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,39,15:33,"SUB IN by BAECHLE,PAIGE",,,,,,,"SUB IN by BAECHLE,PAIGE",1,subbing in,,Centre,paige baechle,,933
40,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,40,15:33,"SUB OUT by WINSTEAD,BRIDGET",,,,,,,"SUB OUT by WINSTEAD,BRIDGET",1,subbing out,,Centre,bridget winstead,,933
41,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,41,15:33,"SUB OUT by BENHAM,CHELSEA",,,,,,,"SUB OUT by BENHAM,CHELSEA",1,subbing out,,Centre,chelsea benham,,933
42,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,42,15:33,"SUB OUT by MIRE,JENNA",,,,,,,"SUB OUT by MIRE,JENNA",1,subbing out,,Centre,jenna mire,,933
43,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,43,15:18,"MISS 3PTR by BAECHLE,PAIGE",,,,,,,"MISS 3PTR by BAECHLE,PAIGE",1,three pointer,missed,Centre,paige baechle,,918
44,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,44,--,,,,,"REBOUND DEF by BROWN,KELSEY",,,"REBOUND DEF by BROWN,KELSEY",1,defensive rebound,,birmingham-southern,kelsey brown,,
45,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,45,15:03,,,,,"MISS LAYUP by KING,CAROLINE",,,"MISS LAYUP by KING,CAROLINE",1,layup,missed,birmingham-southern,caroline king,,903
46,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,46,--,,,,,"REBOUND OFF by MOORE,ERIN",,,"REBOUND OFF by MOORE,ERIN",1,offensive rebound,,birmingham-southern,erin moore,,
47,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,47,14:57,"FOUL  by STOUGH,MARY",,,,,,,"FOUL  by STOUGH,MARY",1,foul,,Centre,mary stough,,897
48,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,48,14:57,,5,,9 (+4),"GOOD FT by MOORE,ERIN",BSC 5-9 (-4),,"GOOD FT by MOORE,ERIN",1,free throw,good,birmingham-southern,erin moore,1,897
