,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE~2,Away Team Score,Play Team Indicator,Home Team Score,MCWB,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
26,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,26,17:56,"GOOD LAYUP by BENHAM,CHELSEA(in the paint)",2,,2,,CENTRE~2 2-2 (0),,"GOOD LAYUP by BENHAM,CHELSEA(in the paint)",1,layup,good,Centre,chelsea benham,2,1076
27,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,27,--,"ASSIST  by BAECHLE,PAIGE",,,,,,,"ASSIST  by BAECHLE,PAIGE",1,assist,,Centre,paige baechle,,
28,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,28,17:43,,2,,5 (+3),"GOOD 3PTR by JOHNSON,VELVET",MCWB 2-5 (-3),,"GOOD 3PTR by JOHNSON,VELVET",1,three pointer,good,millsaps,velvet johnson,3,1063
29,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,29,--,,,,,"ASSIST  by WHITE,SHATOYA",,,"ASSIST  by WHITE,SHATOYA",1,assist,,millsaps,shatoya white,,
30,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,30,17:32,"MISS JUMPER by BAECHLE,PAIGE",,,,,,,"MISS JUMPER by BAECHLE,PAIGE",1,jumper,missed,Centre,paige baechle,,1052
31,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,31,--,"REBOUND OFF by BAECHLE,PAIGE",,,,,,,"REBOUND OFF by BAECHLE,PAIGE",1,offensive rebound,,Centre,paige baechle,,
32,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,32,17:29,"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",4,,5 (+1),,CENTRE~2 4-5 (-1),,"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",1,layup,good,Centre,paige baechle,2,1049
33,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,33,17:27,,,,,"FOUL  by WHITE,SHATOYA",,,"FOUL  by WHITE,SHATOYA",1,foul,,millsaps,shatoya white,,1047
34,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,34,17:27,"GOOD FT by BAECHLE,PAIGE",5,,5,,CENTRE~2 5-5 (0),,"GOOD FT by BAECHLE,PAIGE",1,free throw,good,Centre,paige baechle,1,1047
35,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,35,17:20,,,,,"MISS LAYUP by WHITE,SHATOYA",,,"MISS LAYUP by WHITE,SHATOYA",1,layup,missed,millsaps,shatoya white,,1040
36,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,36,--,"REBOUND DEF by BAECHLE,PAIGE",,,,,,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
37,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,37,17:07,"TURNOVER  by BENHAM,CHELSEA",,,,,,,"TURNOVER  by BENHAM,CHELSEA",1,turnover,,Centre,chelsea benham,,1027
38,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,38,16:48,,5,,8 (+3),"GOOD 3PTR by LOVE,LOVIE",MCWB 5-8 (-3),,"GOOD 3PTR by LOVE,LOVIE",1,three pointer,good,millsaps,lovie love,3,1008
39,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,39,--,,,,,"ASSIST  by JOHNSON,VELVET",,,"ASSIST  by JOHNSON,VELVET",1,assist,,millsaps,velvet johnson,,
