,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,TMC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
27,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,27,16:39,"MISS JUMPER by HARTLAGE,MAGGIE",,,,,,,"MISS JUMPER by HARTLAGE,MAGGIE",1,jumper,missed,Centre,maggie hartlage,,999
28,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,28,--,,,,,"REBOUND DEF by BRUNSMAN,JILL",,,"REBOUND DEF by BRUNSMAN,JILL",1,defensive rebound,,thomas more,jill brunsman,,
29,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,29,16:37,"FOUL  by HARTLAGE,MAGGIE",,,,,,,"FOUL  by HARTLAGE,MAGGIE",1,foul,,Centre,maggie hartlage,,997
30,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,30,16:24,,,,,"MISS LAYUP by GAINES,NAKHARRA",,,"MISS LAYUP by GAINES,NAKHARRA",1,layup,missed,thomas more,nakharra gaines,,984
31,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,31,--,"REBOUND DEF by GUY,ALANNA",,,,,,,"REBOUND DEF by GUY,ALANNA",1,defensive rebound,,Centre,alanna guy,,
32,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,32,16:15,"MISS JUMPER by GUY,ALANNA",,,,,,,"MISS JUMPER by GUY,ALANNA",1,jumper,missed,Centre,alanna guy,,975
33,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,33,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
34,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,34,16:14,"SUB IN by MOORE,HILLARY",,,,,,,"SUB IN by MOORE,HILLARY",1,subbing in,,Centre,hillary moore,,974
35,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,35,16:14,"SUB OUT by HARTLAGE,MAGGIE",,,,,,,"SUB OUT by HARTLAGE,MAGGIE",1,subbing out,,Centre,maggie hartlage,,974
36,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,36,16:14,,,,,"SUB IN by BEASLEY,DEVIN",,,"SUB IN by BEASLEY,DEVIN",1,subbing in,,thomas more,devin beasley,,974
