Play Type,Shot Outcome,Shot Clock,Team,Time(seconds)
jumper,good,29.0,Centre,353.0
jumper,missed,5.0,hendrix,328.0
jumper,missed,8.0,hendrix,306.0
layup,good,0.0,Centre,276.0
layup,good,11.0,hendrix,257.0
three pointer,missed,14.0,Centre,241.0
layup,good,29.0,Centre,217.0
three pointer,missed,13.0,Centre,180.0
three pointer,good,8.0,hendrix,117.0
jumper,good,18.0,Centre,105.0
three pointer,missed,21.0,hendrix,96.0
layup,good,5.0,Centre,71.0
jumper,missed,12.0,hendrix,53.0
jumper,missed,22.0,Centre,45.0
jumper,missed,29.0,hendrix,29.0
jumper,missed,19.0,Centre,19.0
three pointer,missed,8.0,hendrix,8.0
jumper,missed,572.0,hendrix,587.0
three pointer,good,24.0,Centre,581.0
jumper,missed,6.0,hendrix,557.0
jumper,missed,15.0,Centre,542.0
jumper,missed,9.0,Centre,501.0
jumper,good,4.0,hendrix,475.0
three pointer,missed,21.0,hendrix,451.0
jumper,missed,10.0,Centre,431.0
jumper,missed,27.0,Centre,428.0
jumper,missed,29.0,hendrix,397.0
layup,good,1.0,hendrix,351.0
jumper,missed,11.0,Centre,332.0
jumper,missed,6.0,hendrix,308.0
jumper,missed,26.0,Centre,292.0
three pointer,good,12.0,hendrix,274.0
jumper,missed,1.0,Centre,245.0
three pointer,missed,14.0,hendrix,229.0
jumper,missed,9.0,Centre,208.0
jumper,missed,22.0,hendrix,200.0
layup,good,10.0,hendrix,180.0
jumper,good,10.0,Centre,160.0
jumper,missed,8.0,hendrix,138.0
three pointer,good,24.0,Centre,109.0
jumper,missed,4.0,hendrix,75.0
jumper,missed,26.0,hendrix,71.0
three pointer,missed,14.0,Centre,55.0
jumper,missed,28.0,hendrix,28.0
jumper,good,9.0,Centre,9.0
jumper,good,552.0,Centre,577.0
layup,good,8.0,hendrix,555.0
three pointer,good,1.0,Centre,526.0
jumper,missed,21.0,Centre,484.0
layup,missed,5.0,hendrix,459.0
layup,good,20.0,Centre,449.0
three pointer,good,8.0,hendrix,427.0
jumper,missed,12.0,Centre,409.0
layup,good,8.0,hendrix,387.0
three pointer,good,11.0,Centre,368.0
three pointer,missed,12.0,hendrix,350.0
three pointer,missed,13.0,hendrix,322.0
jumper,missed,14.0,Centre,306.0
jumper,good,3.0,Centre,262.0
jumper,missed,16.0,hendrix,248.0
layup,missed,19.0,Centre,237.0
layup,missed,24.0,hendrix,224.0
layup,good,22.0,Centre,216.0
layup,missed,8.0,hendrix,194.0
jumper,missed,17.0,hendrix,134.0
three pointer,missed,12.0,Centre,116.0
layup,good,8.0,hendrix,90.0
jumper,good,5.0,hendrix,46.0
jumper,good,15.0,Centre,31.0
three pointer,missed,585.0,hendrix,586.0
jumper,missed,9.0,Centre,565.0
three pointer,good,17.0,hendrix,552.0
jumper,missed,10.0,Centre,532.0
layup,good,17.0,hendrix,519.0
three pointer,missed,15.0,hendrix,427.0
jumper,good,22.0,hendrix,419.0
jumper,good,13.0,Centre,402.0
three pointer,good,21.0,hendrix,393.0
three pointer,missed,9.0,Centre,372.0
jumper,missed,4.0,hendrix,346.0
jumper,missed,25.0,hendrix,337.0
three pointer,missed,22.0,Centre,329.0
jumper,good,18.0,Centre,289.0
three pointer,good,23.0,hendrix,282.0
jumper,missed,11.0,Centre,263.0
three pointer,missed,18.0,hendrix,241.0
jumper,missed,7.0,Centre,211.0
jumper,missed,15.0,Centre,178.0
jumper,missed,5.0,hendrix,151.0
layup,good,10.0,Centre,131.0
layup,good,16.0,hendrix,117.0
layup,missed,17.0,Centre,104.0
jumper,missed,13.0,Centre,87.0
layup,good,27.0,Centre,47.0
jumper,missed,25.0,hendrix,42.0
layup,good,19.0,hendrix,31.0
layup,missed,7.0,Centre,7.0
jumper,missed,1.0,hendrix,1.0
layup,missed,15.0,Centre,585.0
jumper,missed,12.0,Centre,559.0
three pointer,missed,20.0,Centre,508.0
jumper,good,22.0,Centre,477.0
layup,good,5.0,marymount,452.0
layup,good,2.0,Centre,333.0
layup,good,0.0,marymount,303.0
jumper,good,15.0,Centre,288.0
layup,good,12.0,marymount,270.0
three pointer,missed,13.0,Centre,253.0
jumper,missed,13.0,marymount,236.0
jumper,missed,18.0,Centre,224.0
three pointer,missed,23.0,Centre,217.0
three pointer,good,22.0,Centre,183.0
three pointer,missed,22.0,marymount,145.0
layup,missed,29.0,marymount,136.0
layup,good,25.0,marymount,131.0
three pointer,missed,26.0,Centre,97.0
layup,missed,13.0,marymount,80.0
layup,missed,27.0,marymount,27.0
jumper,missed,19.0,marymount,19.0
layup,missed,16.0,marymount,16.0
three pointer,missed,4.0,Centre,4.0
jumper,missed,556.0,Centre,574.0
layup,good,13.0,marymount,557.0
jumper,good,15.0,Centre,542.0
three pointer,missed,2.0,marymount,514.0
three pointer,missed,23.0,Centre,507.0
layup,good,14.0,Centre,452.0
layup,good,14.0,marymount,436.0
layup,missed,6.0,marymount,399.0
layup,missed,10.0,marymount,370.0
jumper,missed,14.0,Centre,354.0
layup,missed,14.0,Centre,309.0
three pointer,missed,27.0,Centre,293.0
layup,good,7.0,marymount,270.0
jumper,missed,24.0,marymount,245.0
layup,missed,21.0,Centre,236.0
layup,good,6.0,marymount,212.0
jumper,good,27.0,Centre,179.0
layup,good,10.0,marymount,121.0
layup,good,7.0,marymount,58.0
jumper,good,12.0,Centre,40.0
jumper,good,27.0,marymount,27.0
three pointer,missed,11.0,Centre,11.0
jumper,missed,5.0,Centre,5.0
layup,good,0.0,Centre,0.0
layup,good,10.0,marymount,580.0
three pointer,good,5.0,Centre,555.0
three pointer,good,14.0,marymount,539.0
layup,good,27.0,marymount,522.0
layup,good,15.0,Centre,507.0
layup,missed,10.0,marymount,448.0
three pointer,missed,23.0,Centre,441.0
jumper,missed,4.0,marymount,415.0
jumper,good,3.0,Centre,388.0
jumper,missed,6.0,marymount,364.0
layup,good,20.0,marymount,354.0
jumper,missed,12.0,Centre,336.0
jumper,missed,8.0,Centre,304.0
layup,good,25.0,Centre,299.0
layup,missed,7.0,marymount,276.0
three pointer,good,11.0,Centre,250.0
layup,good,20.0,marymount,216.0
jumper,missed,8.0,Centre,194.0
three pointer,missed,26.0,Centre,190.0
jumper,good,8.0,Centre,168.0
three pointer,missed,11.0,marymount,149.0
three pointer,missed,19.0,Centre,138.0
layup,missed,23.0,Centre,117.0
layup,good,26.0,Centre,113.0
jumper,missed,28.0,Centre,28.0
layup,missed,19.0,Centre,19.0
jumper,missed,4.0,marymount,574.0
jumper,good,1.0,Centre,545.0
layup,missed,2.0,marymount,517.0
three pointer,missed,21.0,Centre,508.0
jumper,missed,23.0,Centre,501.0
three pointer,missed,25.0,Centre,496.0
three pointer,missed,4.0,marymount,470.0
jumper,missed,13.0,Centre,453.0
jumper,good,29.0,marymount,422.0
three pointer,missed,28.0,Centre,390.0
layup,good,9.0,marymount,367.0
jumper,good,4.0,Centre,301.0
three pointer,missed,19.0,marymount,203.0
jumper,good,29.0,Centre,172.0
jumper,good,14.0,Centre,132.0
jumper,missed,25.0,marymount,97.0
three pointer,good,23.0,Centre,90.0
jumper,good,12.0,marymount,72.0
jumper,good,28.0,Centre,40.0
three pointer,missed,22.0,marymount,32.0
three pointer,missed,7.0,marymount,7.0
three pointer,missed,0.0,marymount,0.0
jumper,missed,1.0,Centre,556.0
jumper,missed,7.0,methodist,533.0
layup,missed,11.0,methodist,495.0
layup,missed,18.0,Centre,483.0
layup,missed,21.0,methodist,474.0
jumper,missed,19.0,Centre,463.0
layup,missed,12.0,methodist,445.0
jumper,missed,6.0,Centre,421.0
jumper,missed,22.0,methodist,413.0
three pointer,good,15.0,methodist,387.0
jumper,missed,15.0,Centre,327.0
layup,good,18.0,Centre,315.0
jumper,good,18.0,methodist,303.0
jumper,missed,17.0,Centre,290.0
layup,missed,24.0,Centre,284.0
layup,missed,19.0,methodist,273.0
three pointer,missed,21.0,Centre,264.0
layup,missed,25.0,Centre,259.0
layup,good,21.0,Centre,250.0
three pointer,good,13.0,Centre,215.0
layup,missed,25.0,Centre,193.0
layup,missed,29.0,Centre,192.0
jumper,good,14.0,methodist,136.0
layup,good,18.0,Centre,124.0
layup,missed,11.0,methodist,105.0
three pointer,missed,26.0,methodist,101.0
jumper,good,27.0,Centre,27.0
layup,missed,12.0,methodist,12.0
three pointer,missed,0.0,Centre,0.0
layup,good,21.0,Centre,591.0
layup,good,11.0,methodist,572.0
jumper,missed,16.0,methodist,539.0
layup,missed,25.0,methodist,534.0
layup,missed,18.0,methodist,517.0
three pointer,missed,24.0,methodist,511.0
jumper,missed,21.0,methodist,502.0
layup,good,27.0,methodist,499.0
jumper,good,14.0,Centre,483.0
jumper,missed,12.0,methodist,465.0
layup,good,10.0,methodist,445.0
three pointer,missed,18.0,methodist,425.0
jumper,good,21.0,methodist,398.0
jumper,missed,24.0,methodist,370.0
layup,missed,13.0,Centre,352.0
three pointer,missed,5.0,methodist,327.0
layup,good,27.0,methodist,306.0
three pointer,missed,11.0,Centre,287.0
jumper,missed,14.0,methodist,271.0
three pointer,good,15.0,Centre,256.0
layup,good,16.0,methodist,242.0
jumper,good,1.0,Centre,213.0
jumper,missed,23.0,Centre,181.0
jumper,missed,16.0,methodist,167.0
jumper,missed,19.0,Centre,156.0
three pointer,missed,17.0,Centre,143.0
jumper,good,20.0,Centre,133.0
layup,missed,20.0,methodist,91.0
layup,good,13.0,Centre,63.0
jumper,good,22.0,Centre,33.0
jumper,missed,18.0,methodist,18.0
jumper,missed,10.0,Centre,10.0
layup,good,5.0,Centre,5.0
three pointer,missed,0.0,methodist,0.0
jumper,missed,23.0,methodist,593.0
jumper,good,18.0,methodist,568.0
jumper,missed,7.0,Centre,524.0
jumper,missed,16.0,Centre,497.0
layup,good,7.0,methodist,474.0
jumper,good,10.0,Centre,454.0
jumper,missed,5.0,methodist,429.0
jumper,missed,12.0,methodist,397.0
layup,missed,25.0,Centre,362.0
layup,missed,25.0,Centre,357.0
jumper,missed,22.0,Centre,354.0
