,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
26,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,26,15:50,"GOOD 3PTR by RHULE,BONNIE",5,,9 (+4),,CENTRE_W 5-9 (-4),,"GOOD 3PTR by RHULE,BONNIE",1,three pointer,good,Centre,bonnie rhule,3,950
27,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,27,--,"ASSIST  by HARTLAGE,MAGGIE",,,,,,,"ASSIST  by HARTLAGE,MAGGIE",1,assist,,Centre,maggie hartlage,,
28,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,28,15:33,,5,,11 (+6),"GOOD JUMPER by TODMAN,DY'NELLE",RHODES 5-11 (-6),,"GOOD JUMPER by TODMAN,DY'NELLE",1,jumper,good,rhodes,dy'nelle todman,2,933
29,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,29,--,,,,,"ASSIST  by JOHNSON,SARAH",,,"ASSIST  by JOHNSON,SARAH",1,assist,,rhodes,sarah johnson,,
30,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,30,15:04,"MISS 3PTR by COLLIVER,OLIVIA",,,,,,,"MISS 3PTR by COLLIVER,OLIVIA",1,three pointer,missed,Centre,olivia colliver,,904
31,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,31,--,"REBOUND OFF by RHULE,BONNIE",,,,,,,"REBOUND OFF by RHULE,BONNIE",1,offensive rebound,,Centre,bonnie rhule,,
32,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,32,14:39,,,,,"FOUL  by GOODRUM,NATALIE",,,"FOUL  by GOODRUM,NATALIE",1,foul,,rhodes,natalie goodrum,,879
33,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,33,14:39,"TURNOVER  by COLLIVER,OLIVIA",,,,,,,"TURNOVER  by COLLIVER,OLIVIA",1,turnover,,Centre,olivia colliver,,879
34,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,34,14:39,,,,,"STEAL  by JOHNSON,SARAH",,,"STEAL  by JOHNSON,SARAH",1,steal,,rhodes,,,879
35,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,35,14:39,"SUB IN by JUDY,MICHELE",,,,,,,"SUB IN by JUDY,MICHELE",1,subbing in,,Centre,michele judy,,879
