,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,MVCW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
28,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,28,16:10,,,,,"MISS JUMPER by HAWN,RACHEL",,,"MISS JUMPER by HAWN,RACHEL",1,jumper,missed,maryville college women,rachel hawn,,970
29,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,29,--,,,,,"REBOUND OFF by PUCKETT,MACKENZIE",,,"REBOUND OFF by PUCKETT,MACKENZIE",1,offensive rebound,,maryville college women,mackenzie puckett,,
30,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,30,16:09,,,,,"TURNOVER  by PUCKETT,MACKENZIE",,,"TURNOVER  by PUCKETT,MACKENZIE",1,turnover,,maryville college women,mackenzie puckett,,969
31,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,31,16:09,"STEAL  by GUY,ALEXIS",,,,,,,"STEAL  by GUY,ALEXIS",1,steal,,Centre,,,969
32,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,32,16:03,,,,,"FOUL  by PUCKETT,MACKENZIE",,,"FOUL  by PUCKETT,MACKENZIE",1,foul,,maryville college women,mackenzie puckett,,963
33,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,33,16:03,,,,,"SUB IN by TRENT,LAUREN",,,"SUB IN by TRENT,LAUREN",1,subbing in,,maryville college women,lauren trent,,963
34,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,34,16:03,,,,,"SUB IN by BRACKINS,MINDY",,,"SUB IN by BRACKINS,MINDY",1,subbing in,,maryville college women,mindy brackins,,963
35,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,35,16:03,,,,,"SUB OUT by YOUNG,JOANNA",,,"SUB OUT by YOUNG,JOANNA",1,subbing out,,maryville college women,joanna young,,963
36,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,36,16:03,,,,,"SUB OUT by PUCKETT,MACKENZIE",,,"SUB OUT by PUCKETT,MACKENZIE",1,subbing out,,maryville college women,mackenzie puckett,,963
37,1,maryville-tenn-,Centre College,Maryville College Women,62-72,62,72,"35, 27, 62","33, 39, 72",35,27,62,33,39,72,0-1,1-0,11/15/14,Lose,956,No Location Recorded,6:15 AM,A,37,15:54,"GOOD JUMPER by HARTLAGE,MAGGIE",4,,4,,CENTRE_W 4-4 (0),,"GOOD JUMPER by HARTLAGE,MAGGIE",1,jumper,good,Centre,maggie hartlage,2,954
