,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,Cent,Away Team Score,Play Team Indicator,Home Team Score,Berea,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
26,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,26,17:52,,,,,"TURNOVER  by BUTLER,KATELYN",,,"TURNOVER  by BUTLER,KATELYN",1,turnover,,berea college,katelyn butler,,1072
27,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,27,17:52,,,,,"SUB IN by WILLIAMS,ADRIANA",,,"SUB IN by WILLIAMS,ADRIANA",1,subbing in,,berea college,adriana williams,,1072
28,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,28,17:52,,,,,"SUB OUT by BUTLER,KATELYN",,,"SUB OUT by BUTLER,KATELYN",1,subbing out,,berea college,katelyn butler,,1072
29,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,29,17:52,,,,,"SUB IN by ROBERTS,JAMIE",,,"SUB IN by ROBERTS,JAMIE",1,subbing in,,berea college,jamie roberts,,1072
30,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,30,17:52,,,,,"SUB OUT by SMALL,ZACCHEA",,,"SUB OUT by SMALL,ZACCHEA",1,subbing out,,berea college,zacchea small,,1072
31,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,31,17:52,,,,,"SUB IN by SHEAD,RAYVEN",,,"SUB IN by SHEAD,RAYVEN",1,subbing in,,berea college,rayven shead,,1072
32,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,32,17:52,,,,,"SUB OUT by LOVELESS,ANNA",,,"SUB OUT by LOVELESS,ANNA",1,subbing out,,berea college,anna loveless,,1072
33,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,33,17:35,"TURNOVER  by HARTLAGE,MAGGIE",,,,,,,"TURNOVER  by HARTLAGE,MAGGIE",1,turnover,,Centre,maggie hartlage,,1055
34,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,34,17:35,,,,,"STEAL  by WILLIAMS,ADRIANA",,,"STEAL  by WILLIAMS,ADRIANA",1,steal,,berea college,,,1055
35,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,35,17:32,,0,,6 (+6),"GOOD 2PTR by WILLIAMS,ADRIANA",Berea 0-6 (-6),,"GOOD 2PTR by WILLIAMS,ADRIANA",1,two pointer,good,berea college,,2,1052
