,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,RHODE,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
24,14,rhodes,CENTRE_W,Rhodes College,60-63,60,63,"27, 33, 60","35, 28, 63",27,33,60,35,28,63,"6-9, 2-3 SAA","12-4, 3-2 SAA",01/23/15,Lose,629,No Location Recorded,6 p.m.,A,24,--,,,,,"REBOUND DEF by JOHNSON,SARAH",,,"REBOUND DEF by JOHNSON,SARAH",1,defensive rebound,,rhodes college,sarah johnson,,
25,14,rhodes,CENTRE_W,Rhodes College,60-63,60,63,"27, 33, 60","35, 28, 63",27,33,60,35,28,63,"6-9, 2-3 SAA","12-4, 3-2 SAA",01/23/15,Lose,629,No Location Recorded,6 p.m.,A,25,16:47,,4,,10 (+6),"GOOD 3PTR by DANIELS,SYMONE",RHODE 4-10 (-6),,"GOOD 3PTR by DANIELS,SYMONE",1,three pointer,good,rhodes college,symone daniels,3,1007
26,14,rhodes,CENTRE_W,Rhodes College,60-63,60,63,"27, 33, 60","35, 28, 63",27,33,60,35,28,63,"6-9, 2-3 SAA","12-4, 3-2 SAA",01/23/15,Lose,629,No Location Recorded,6 p.m.,A,26,--,,,,,"ASSIST  by JOHNSON,SARAH",,,"ASSIST  by JOHNSON,SARAH",1,assist,,rhodes college,sarah johnson,,
27,14,rhodes,CENTRE_W,Rhodes College,60-63,60,63,"27, 33, 60","35, 28, 63",27,33,60,35,28,63,"6-9, 2-3 SAA","12-4, 3-2 SAA",01/23/15,Lose,629,No Location Recorded,6 p.m.,A,27,16:29,"MISS LAYUP by KELLAM,PAIGE",,,,,,,"MISS LAYUP by KELLAM,PAIGE",1,layup,missed,Centre,paige kellam,,989
28,14,rhodes,CENTRE_W,Rhodes College,60-63,60,63,"27, 33, 60","35, 28, 63",27,33,60,35,28,63,"6-9, 2-3 SAA","12-4, 3-2 SAA",01/23/15,Lose,629,No Location Recorded,6 p.m.,A,28,--,,,,,"REBOUND DEF by DANIELS,SYMONE",,,"REBOUND DEF by DANIELS,SYMONE",1,defensive rebound,,rhodes college,symone daniels,,
29,14,rhodes,CENTRE_W,Rhodes College,60-63,60,63,"27, 33, 60","35, 28, 63",27,33,60,35,28,63,"6-9, 2-3 SAA","12-4, 3-2 SAA",01/23/15,Lose,629,No Location Recorded,6 p.m.,A,29,16:05,,,,,"TURNOVER  by DANIELS,SYMONE",,,"TURNOVER  by DANIELS,SYMONE",1,turnover,,rhodes college,symone daniels,,965
30,14,rhodes,CENTRE_W,Rhodes College,60-63,60,63,"27, 33, 60","35, 28, 63",27,33,60,35,28,63,"6-9, 2-3 SAA","12-4, 3-2 SAA",01/23/15,Lose,629,No Location Recorded,6 p.m.,A,30,16:05,,,,,"FOUL  by DANIELS,SYMONE",,,"FOUL  by DANIELS,SYMONE",1,foul,,rhodes college,symone daniels,,965
31,14,rhodes,CENTRE_W,Rhodes College,60-63,60,63,"27, 33, 60","35, 28, 63",27,33,60,35,28,63,"6-9, 2-3 SAA","12-4, 3-2 SAA",01/23/15,Lose,629,No Location Recorded,6 p.m.,A,31,16:05,"SUB IN by ANDREASSEN,CAROLINE",,,,,,,"SUB IN by ANDREASSEN,CAROLINE",1,subbing in,,Centre,caroline andreassen,,965
32,14,rhodes,CENTRE_W,Rhodes College,60-63,60,63,"27, 33, 60","35, 28, 63",27,33,60,35,28,63,"6-9, 2-3 SAA","12-4, 3-2 SAA",01/23/15,Lose,629,No Location Recorded,6 p.m.,A,32,16:05,"SUB IN by JUDY,MICHELE",,,,,,,"SUB IN by JUDY,MICHELE",1,subbing in,,Centre,michele judy,,965
33,14,rhodes,CENTRE_W,Rhodes College,60-63,60,63,"27, 33, 60","35, 28, 63",27,33,60,35,28,63,"6-9, 2-3 SAA","12-4, 3-2 SAA",01/23/15,Lose,629,No Location Recorded,6 p.m.,A,33,16:05,"SUB IN by SCHAD,OLIVIA",,,,,,,"SUB IN by SCHAD,OLIVIA",1,subbing in,,Centre,olivia schad,,965
