,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,OUW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
25,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,25,17:21,,,,,"MISS FT by HUGHES,CIARA",,,"MISS FT by HUGHES,CIARA",1,free throw,missed,oglethorpe,ciara hughes,,1041
26,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,26,--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
27,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,27,17:21,,3,,5 (+2),"GOOD FT by HUGHES,CIARA",OUW 3-5 (-2),,"GOOD FT by HUGHES,CIARA",1,free throw,good,oglethorpe,ciara hughes,1,1041
28,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,28,17:21,"SUB IN by JUDY,MICHELE",,,,,,,"SUB IN by JUDY,MICHELE",1,subbing in,,Centre,michele judy,,1041
29,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,29,17:21,"SUB IN by ANDREASSEN,CAROLINE",,,,,,,"SUB IN by ANDREASSEN,CAROLINE",1,subbing in,,Centre,caroline andreassen,,1041
30,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,30,17:21,"SUB IN by SCHAD,OLIVIA",,,,,,,"SUB IN by SCHAD,OLIVIA",1,subbing in,,Centre,olivia schad,,1041
31,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,31,17:21,"SUB OUT by RHULE,BONNIE",,,,,,,"SUB OUT by RHULE,BONNIE",1,subbing out,,Centre,bonnie rhule,,1041
32,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,32,17:21,"SUB OUT by COLLIVER,OLIVIA",,,,,,,"SUB OUT by COLLIVER,OLIVIA",1,subbing out,,Centre,olivia colliver,,1041
33,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,33,17:21,"SUB OUT by KELLAM,PAIGE",,,,,,,"SUB OUT by KELLAM,PAIGE",1,subbing out,,Centre,paige kellam,,1041
34,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,34,17:21,,,,,"SUB IN by MERRYMAN,RAEGAN",,,"SUB IN by MERRYMAN,RAEGAN",1,subbing in,,oglethorpe,raegan merryman,,1041
35,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,35,17:21,,,,,"SUB OUT by BUCK,EMILY",,,"SUB OUT by BUCK,EMILY",1,subbing out,,oglethorpe,emily buck,,1041
36,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,36,17:06,"GOOD LAYUP by JUDY,MICHELE(in the paint)",5,,5,,CENTRE_W 5-5 (0),,"GOOD LAYUP by JUDY,MICHELE(in the paint)",1,layup,good,Centre,michele judy,2,1026
37,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,37,--,"ASSIST  by HARTLAGE,MAGGIE",,,,,,,"ASSIST  by HARTLAGE,MAGGIE",1,assist,,Centre,maggie hartlage,,
38,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,38,16:52,,,,,"MISS JUMPER by KENNEBREW,KRISTEN",,,"MISS JUMPER by KENNEBREW,KRISTEN",1,jumper,missed,oglethorpe,kristen kennebrew,,1012
39,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,39,--,,,,,"REBOUND OFF by KENNEBREW,KRISTEN",,,"REBOUND OFF by KENNEBREW,KRISTEN",1,offensive rebound,,oglethorpe,kristen kennebrew,,
40,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,40,16:48,,,,,"MISS JUMPER by KENNEBREW,KRISTEN",,,"MISS JUMPER by KENNEBREW,KRISTEN",1,jumper,missed,oglethorpe,kristen kennebrew,,1008
41,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,41,--,"REBOUND DEF by JUDY,MICHELE",,,,,,,"REBOUND DEF by JUDY,MICHELE",1,defensive rebound,,Centre,michele judy,,
42,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,42,16:38,"MISS JUMPER by JUDY,MICHELE",,,,,,,"MISS JUMPER by JUDY,MICHELE",1,jumper,missed,Centre,michele judy,,998
43,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,43,--,"REBOUND OFF by GUY,ALEXIS",,,,,,,"REBOUND OFF by GUY,ALEXIS",1,offensive rebound,,Centre,alexis guy,,
44,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,44,16:35,,,,,"FOUL  by CARROLL,DANNELLE",,,"FOUL  by CARROLL,DANNELLE",1,foul,,oglethorpe,dannelle carroll,,995
45,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,45,16:35,,,,,"SUB IN by FORTSON,MCKENZIE",,,"SUB IN by FORTSON,MCKENZIE",1,subbing in,,oglethorpe,mckenzie fortson,,995
46,23,oglethorpe,Centre,Oglethorpe,63-54,63,54,"24, 39, 63","34, 20, 54",24,39,63,34,20,54,"10-14, 6-8 SAA","11-14, 6-8 SAA",02/22/15,Win,222,No Location Recorded,1 p.m.,A,46,16:35,,,,,"SUB OUT by CARROLL,DANNELLE",,,"SUB OUT by CARROLL,DANNELLE",1,subbing out,,oglethorpe,dannelle carroll,,995
