,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,BCW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
26,16,berry,Berry College,Centre College,65-58,65,58,"28, 37, 65","26, 32, 58",28,37,65,26,32,58,"7-10, 3-4 SAA","13-5, 5-2 SAA",01/30/15,Win,139,No Location Recorded,6:00 PM,H,26,16:00,"FOUL  by SMITH,IMANI",,,,,,,"FOUL  by SMITH,IMANI",1,foul,,berry college,imani smith,,960
27,16,berry,Berry College,Centre College,65-58,65,58,"28, 37, 65","26, 32, 58",28,37,65,26,32,58,"7-10, 3-4 SAA","13-5, 5-2 SAA",01/30/15,Win,139,No Location Recorded,6:00 PM,H,27,16:00,"SUB IN by HAMMON,REBECCA",,,,,,,"SUB IN by HAMMON,REBECCA",1,subbing in,,berry college,rebecca hammon,,960
28,16,berry,Berry College,Centre College,65-58,65,58,"28, 37, 65","26, 32, 58",28,37,65,26,32,58,"7-10, 3-4 SAA","13-5, 5-2 SAA",01/30/15,Win,139,No Location Recorded,6:00 PM,H,28,16:00,"SUB OUT by SMITH,IMANI",,,,,,,"SUB OUT by SMITH,IMANI",1,subbing out,,berry college,imani smith,,960
29,16,berry,Berry College,Centre College,65-58,65,58,"28, 37, 65","26, 32, 58",28,37,65,26,32,58,"7-10, 3-4 SAA","13-5, 5-2 SAA",01/30/15,Win,139,No Location Recorded,6:00 PM,H,29,16:00,,,,,"SUB IN by JUDY,MICHELE",,,"SUB IN by JUDY,MICHELE",1,subbing in,,Centre,michele judy,,960
30,16,berry,Berry College,Centre College,65-58,65,58,"28, 37, 65","26, 32, 58",28,37,65,26,32,58,"7-10, 3-4 SAA","13-5, 5-2 SAA",01/30/15,Win,139,No Location Recorded,6:00 PM,H,30,16:00,,,,,"SUB IN by ANDREASSEN,CAROLINE",,,"SUB IN by ANDREASSEN,CAROLINE",1,subbing in,,Centre,caroline andreassen,,960
31,16,berry,Berry College,Centre College,65-58,65,58,"28, 37, 65","26, 32, 58",28,37,65,26,32,58,"7-10, 3-4 SAA","13-5, 5-2 SAA",01/30/15,Win,139,No Location Recorded,6:00 PM,H,31,16:00,,,,,"SUB OUT by RHULE,BONNIE",,,"SUB OUT by RHULE,BONNIE",1,subbing out,,Centre,bonnie rhule,,960
32,16,berry,Berry College,Centre College,65-58,65,58,"28, 37, 65","26, 32, 58",28,37,65,26,32,58,"7-10, 3-4 SAA","13-5, 5-2 SAA",01/30/15,Win,139,No Location Recorded,6:00 PM,H,32,16:00,,,,,"SUB OUT by HARTLAGE,MAGGIE",,,"SUB OUT by HARTLAGE,MAGGIE",1,subbing out,,Centre,maggie hartlage,,960
33,16,berry,Berry College,Centre College,65-58,65,58,"28, 37, 65","26, 32, 58",28,37,65,26,32,58,"7-10, 3-4 SAA","13-5, 5-2 SAA",01/30/15,Win,139,No Location Recorded,6:00 PM,H,33,15:52,,,,,"MISS LAYUP by ANDREASSEN,CAROLINE",,,"MISS LAYUP by ANDREASSEN,CAROLINE",1,layup,missed,Centre,caroline andreassen,,952
34,16,berry,Berry College,Centre College,65-58,65,58,"28, 37, 65","26, 32, 58",28,37,65,26,32,58,"7-10, 3-4 SAA","13-5, 5-2 SAA",01/30/15,Win,139,No Location Recorded,6:00 PM,H,34,--,,,,,"REBOUND OFF by JUDY,MICHELE",,,"REBOUND OFF by JUDY,MICHELE",1,offensive rebound,,Centre,michele judy,,
35,16,berry,Berry College,Centre College,65-58,65,58,"28, 37, 65","26, 32, 58",28,37,65,26,32,58,"7-10, 3-4 SAA","13-5, 5-2 SAA",01/30/15,Win,139,No Location Recorded,6:00 PM,H,35,15:42,"FOUL  by COOK,EMMA",,,,,,,"FOUL  by COOK,EMMA",1,foul,,berry college,emma cook,,942
36,16,berry,Berry College,Centre College,65-58,65,58,"28, 37, 65","26, 32, 58",28,37,65,26,32,58,"7-10, 3-4 SAA","13-5, 5-2 SAA",01/30/15,Win,139,No Location Recorded,6:00 PM,H,36,15:42,"SUB IN by CASEY,MEGAN",,,,,,,"SUB IN by CASEY,MEGAN",1,subbing in,,berry college,megan casey,,942
