,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,TMCW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
34,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,34,15:55,,,,,"SUB OUT by RHULE,BONNIE",,,"SUB OUT by RHULE,BONNIE",1,subbing out,,Centre,bonnie rhule,,955
35,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,35,15:55,,,,,"SUB OUT by HARTLAGE,MAGGIE",,,"SUB OUT by HARTLAGE,MAGGIE",1,subbing out,,Centre,maggie hartlage,,955
36,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,36,15:55,,,,,"SUB OUT by COLLIVER,OLIVIA",,,"SUB OUT by COLLIVER,OLIVIA",1,subbing out,,Centre,olivia colliver,,955
37,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,37,15:42,"FOUL  by SANTAMARIA,ALEXA",,,,,,,"FOUL  by SANTAMARIA,ALEXA",1,foul,,thomas more college,alexa santamaria,,942
38,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,38,15:42,"TURNOVER  by SANTAMARIA,ALEXA",,,,,,,"TURNOVER  by SANTAMARIA,ALEXA",1,turnover,,thomas more college,alexa santamaria,,942
39,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,39,15:31,,,,,"MISS JUMPER by JUDY,MICHELE",,,"MISS JUMPER by JUDY,MICHELE",1,jumper,missed,Centre,michele judy,,931
40,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,40,--,"REBOUND DEF by CADY,SAM",,,,,,,"REBOUND DEF by CADY,SAM",1,defensive rebound,,thomas more college,sam cady,,
41,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,41,15:18,"GOOD LAYUP by SANTAMARIA,ALEXA(in the paint)",12 (+6),,6,,TMCW 12-6 (-6),,"GOOD LAYUP by SANTAMARIA,ALEXA(in the paint)",1,layup,good,thomas more college,alexa santamaria,2,918
42,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,42,--,"ASSIST  by WAINSCOTT,SYDNI",,,,,,,"ASSIST  by WAINSCOTT,SYDNI",1,assist,,thomas more college,sydni wainscott,,
43,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,43,15:08,,12 (+4),,8,"GOOD LAYUP by JUDY,MICHELE(in the paint)",CENTRE_W 12-8 (-4),,"GOOD LAYUP by JUDY,MICHELE(in the paint)",1,layup,good,Centre,michele judy,2,908
44,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,44,--,,,,,"ASSIST  by ANDREASSEN,CAROLINE",,,"ASSIST  by ANDREASSEN,CAROLINE",1,assist,,Centre,caroline andreassen,,
45,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,45,14:59,"GOOD JUMPER by MOSS,SYDNEY",14 (+6),,8,,TMCW 14-8 (-6),,"GOOD JUMPER by MOSS,SYDNEY",1,jumper,good,thomas more college,sydney moss,2,899
46,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,46,14:31,,,,,"MISS LAYUP by JUDY,MICHELE",,,"MISS LAYUP by JUDY,MICHELE",1,layup,missed,Centre,michele judy,,871
47,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,47,14:31,"BLOCK  by SANTAMARIA,ALEXA",,,,,,,"BLOCK  by SANTAMARIA,ALEXA",1,block,,thomas more college,alexa santamaria,,871
48,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,48,--,"REBOUND DEF by CADY,SAM",,,,,,,"REBOUND DEF by CADY,SAM",1,defensive rebound,,thomas more college,sam cady,,
49,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,49,14:29,"SUB IN by KRUSLING,STEPHANIE",,,,,,,"SUB IN by KRUSLING,STEPHANIE",1,subbing in,,thomas more college,stephanie krusling,,869
50,3,thomas-more,Thomas More College,Centre College,44-77,44,77,"24, 20, 44","43, 34, 77",24,20,44,43,34,77,1-2,2-0,11/22/14,Lose,231,No Location Recorded,7:00 PM,H,50,14:29,"SUB IN by PAUL,KIRSTEN",,,,,,,"SUB IN by PAUL,KIRSTEN",1,subbing in,,thomas more college,kirsten paul,,869
