,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,AUGIE,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
42,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,42,16:08,,,,,"SUB IN by LEWIS,KENDALL",,,"SUB IN by LEWIS,KENDALL",1,subbing in,,Centre,kendall lewis,,968
43,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,43,16:08,,,,,"SUB OUT by HARTLAGE,MAGGIE",,,"SUB OUT by HARTLAGE,MAGGIE",1,subbing out,,Centre,maggie hartlage,,968
44,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,44,15:45,"MISS 3PTR by FREEMAN,KAYLA",,,,,,,"MISS 3PTR by FREEMAN,KAYLA",1,three pointer,missed,augustana college,kayla freeman,,945
45,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,45,--,,,,,"REBOUND DEF by KELLAM,PAIGE",,,"REBOUND DEF by KELLAM,PAIGE",1,defensive rebound,,Centre,paige kellam,,
46,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,46,15:39,,,,,"TURNOVER  by KELLAM,PAIGE",,,"TURNOVER  by KELLAM,PAIGE",1,turnover,,Centre,paige kellam,,939
47,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,47,15:19,"TURNOVER  by PEZZOPANE,MARISSA",,,,,,,"TURNOVER  by PEZZOPANE,MARISSA",1,turnover,,augustana college,marissa pezzopane,,919
48,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,48,15:19,"FOUL  by PEZZOPANE,MARISSA",,,,,,,"FOUL  by PEZZOPANE,MARISSA",1,foul,,augustana college,marissa pezzopane,,919
49,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,49,15:19,"SUB IN by VILLA,KATIE",,,,,,,"SUB IN by VILLA,KATIE",1,subbing in,,augustana college,katie villa,,919
50,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,50,15:19,"SUB IN by VANWATERMEULEN,JENN",,,,,,,"SUB IN by VANWATERMEULEN,JENN",1,subbing in,,augustana college,jenn vanwatermeulen,,919
51,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,51,15:19,"SUB IN by VANROEYEN,VALERIE",,,,,,,"SUB IN by VANROEYEN,VALERIE",1,subbing in,,augustana college,valerie vanroeyen,,919
52,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,52,15:19,"SUB OUT by PEZZOPANE,MARISSA",,,,,,,"SUB OUT by PEZZOPANE,MARISSA",1,subbing out,,augustana college,marissa pezzopane,,919
53,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,53,15:19,"SUB OUT by ALLEN,VICTORIA",,,,,,,"SUB OUT by ALLEN,VICTORIA",1,subbing out,,augustana college,victoria allen,,919
54,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,54,15:19,"SUB OUT by FREEMAN,KAYLA",,,,,,,"SUB OUT by FREEMAN,KAYLA",1,subbing out,,augustana college,kayla freeman,,919
55,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,55,15:11,,,,,"MISS 3PTR by COLLIVER,OLIVIA",,,"MISS 3PTR by COLLIVER,OLIVIA",1,three pointer,missed,Centre,olivia colliver,,911
56,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,56,--,"REBOUND DEF by MCNALLY,ANDREA",,,,,,,"REBOUND DEF by MCNALLY,ANDREA",1,defensive rebound,,augustana college,andrea mcnally,,
57,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,57,14:55,"GOOD JUMPER by MCNALLY,ANDREA(in the paint)",4,,8 (+4),,AUGIE 4-8 (+4),,"GOOD JUMPER by MCNALLY,ANDREA(in the paint)",1,jumper,good,augustana college,andrea mcnally,2,895
58,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,58,14:39,,,,,"MISS 3PTR by LEWIS,KENDALL",,,"MISS 3PTR by LEWIS,KENDALL",1,three pointer,missed,Centre,kendall lewis,,879
59,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,59,--,"REBOUND DEF by FREEMAN,KAYLA",,,,,,,"REBOUND DEF by FREEMAN,KAYLA",1,defensive rebound,,augustana college,kayla freeman,,
60,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,60,14:23,"TURNOVER  by VILLA,KATIE",,,,,,,"TURNOVER  by VILLA,KATIE",1,turnover,,augustana college,katie villa,,863
61,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,61,14:23,,,,,"SUB IN by MCKNIGHT,KAITLYN",,,"SUB IN by MCKNIGHT,KAITLYN",1,subbing in,,Centre,kaitlyn mcknight,,863
62,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,62,14:23,,,,,"SUB IN by SCHAD,OLIVIA",,,"SUB IN by SCHAD,OLIVIA",1,subbing in,,Centre,olivia schad,,863
63,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,63,14:23,,,,,"SUB IN by HARTLAGE,MAGGIE",,,"SUB IN by HARTLAGE,MAGGIE",1,subbing in,,Centre,maggie hartlage,,863
64,8,augustana-ill-,Augustana College,CENTRE_W,49-72,49,72,"27, 22, 49","29, 43, 72",27,22,49,29,43,72,3-5,5-4,12/20/14,Lose,182,No Location Recorded,1 p.m.,H,64,14:23,,,,,"SUB OUT by GUY,ALEXIS",,,"SUB OUT by GUY,ALEXIS",1,subbing out,,Centre,alexis guy,,863
