,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
24,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,24,17:29,,,,,"SUB IN by KNOWLES,HALLE",,,"SUB IN by KNOWLES,HALLE",1,subbing in,,birmingham-southern,halle knowles,,1049
25,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,25,17:29,,,,,"SUB IN by CURRY,ASHLEY",,,"SUB IN by CURRY,ASHLEY",1,subbing in,,birmingham-southern,ashley curry,,1049
26,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,26,17:29,,,,,"SUB OUT by DIXON,JOTHANI",,,"SUB OUT by DIXON,JOTHANI",1,subbing out,,birmingham-southern,jothani dixon,,1049
27,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,27,17:29,,,,,"SUB OUT by BATTS,JASMYNN",,,"SUB OUT by BATTS,JASMYNN",1,subbing out,,birmingham-southern,jasmynn batts,,1049
28,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,28,17:29,,,,,"SUB OUT by HOLMES,JAMEICE",,,"SUB OUT by HOLMES,JAMEICE",1,subbing out,,birmingham-southern,jameice holmes,,1049
29,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,29,17:29,,,,,"SUB OUT by CARTER,CAMILLIA",,,"SUB OUT by CARTER,CAMILLIA",1,subbing out,,birmingham-southern,camillia carter,,1049
30,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,30,17:29,,,,,"SUB OUT by FORD,KAYLA",,,"SUB OUT by FORD,KAYLA",1,subbing out,,birmingham-southern,kayla ford,,1049
31,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,31,17:25,,,,,"MISS 3PTR by DEBAETS,BREANNE",,,"MISS 3PTR by DEBAETS,BREANNE",1,three pointer,missed,birmingham-southern,breanne debaets,,1045
32,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,32,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
33,20,birmingham-southern,Centre College,Birmingham-Southern,56-62,56,62,"29, 27, 56","30, 32, 62",29,27,56,30,32,62,"8-12, 4-6 SAA","9-12, 2-8 SAA",02/13/15,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,33,16:55,"GOOD 3PTR by HARTLAGE,MAGGIE",7 (+5),,2,,CENTRE_W 7-2 (+5),,"GOOD 3PTR by HARTLAGE,MAGGIE",1,three pointer,good,Centre,maggie hartlage,3,1015
