,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTREWB,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
47,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,47,14:32,"SUB IN by COLLIVER,OLIVIA",,,,,,,"SUB IN by COLLIVER,OLIVIA",1,subbing in,,Centre,olivia colliver,,872
48,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,48,14:32,"SUB IN by LEWIS,KENDALL",,,,,,,"SUB IN by LEWIS,KENDALL",1,subbing in,,Centre,kendall lewis,,872
49,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,49,14:32,"SUB OUT by GUY,ALEXIS",,,,,,,"SUB OUT by GUY,ALEXIS",1,subbing out,,Centre,alexis guy,,872
50,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,50,14:32,"SUB OUT by MCKNIGHT,KAITLYN",,,,,,,"SUB OUT by MCKNIGHT,KAITLYN",1,subbing out,,Centre,kaitlyn mcknight,,872
51,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,51,14:32,"SUB OUT by HARTLAGE,MAGGIE",,,,,,,"SUB OUT by HARTLAGE,MAGGIE",1,subbing out,,Centre,maggie hartlage,,872
52,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,52,14:32,,,,,"SUB IN by EARL,BRITTNEI",,,"SUB IN by EARL,BRITTNEI",1,subbing in,,millsapswbb,brittnei earl,,872
53,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,53,14:32,,,,,"SUB OUT by RANDLE,KELLI",,,"SUB OUT by RANDLE,KELLI",1,subbing out,,millsapswbb,kelli randle,,872
54,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,54,14:11,"MISS 3PTR by LEWIS,KENDALL",,,,,,,"MISS 3PTR by LEWIS,KENDALL",1,three pointer,missed,Centre,kendall lewis,,851
55,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,55,--,,,,,"REBOUND DEF by JOHNSON,VELVET",,,"REBOUND DEF by JOHNSON,VELVET",1,defensive rebound,,millsapswbb,velvet johnson,,
56,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,56,14:04,,1,,6 (+5),"GOOD JUMPER by JOHNSON,VELVET(fastbreak)(in the paint)",MILLSAPW 1-6 (-5),,"GOOD JUMPER by JOHNSON,VELVET(fastbreak)(in the paint)",1,jumper,good,millsapswbb,velvet(fastbreak) johnson,2,844
57,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,57,13:42,"GOOD 3PTR by ANDREASSEN,CAROLINE",4,,6 (+2),,CENTREWB 4-6 (-2),,"GOOD 3PTR by ANDREASSEN,CAROLINE",1,three pointer,good,Centre,caroline andreassen,3,822
58,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,58,--,"ASSIST  by LEWIS,KENDALL",,,,,,,"ASSIST  by LEWIS,KENDALL",1,assist,,Centre,kendall lewis,,
59,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,59,13:06,,4,,9 (+5),"GOOD 3PTR by JOHNSON,VELVET",MILLSAPW 4-9 (-5),,"GOOD 3PTR by JOHNSON,VELVET",1,three pointer,good,millsapswbb,velvet johnson,3,786
60,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,60,--,,,,,"ASSIST  by EARL,BRITTNEI",,,"ASSIST  by EARL,BRITTNEI",1,assist,,millsapswbb,brittnei earl,,
61,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,61,12:45,,,,,"FOUL  by FREEMAN,KALA",,,"FOUL  by FREEMAN,KALA",1,foul,,millsapswbb,kala freeman,,765
62,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,62,12:45,"SUB IN by GUY,ALEXIS",,,,,,,"SUB IN by GUY,ALEXIS",1,subbing in,,Centre,alexis guy,,765
63,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,63,12:45,"SUB IN by KELLAM,PAIGE",,,,,,,"SUB IN by KELLAM,PAIGE",1,subbing in,,Centre,paige kellam,,765
64,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,64,12:45,"SUB OUT by SCHAD,OLIVIA",,,,,,,"SUB OUT by SCHAD,OLIVIA",1,subbing out,,Centre,olivia schad,,765
65,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,65,12:45,"SUB OUT by LEWIS,KENDALL",,,,,,,"SUB OUT by LEWIS,KENDALL",1,subbing out,,Centre,kendall lewis,,765
66,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,66,12:45,,,,,"SUB IN by RANDLE,KELLI",,,"SUB IN by RANDLE,KELLI",1,subbing in,,millsapswbb,kelli randle,,765
67,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,67,12:45,,,,,"SUB OUT by FREEMAN,KALA",,,"SUB OUT by FREEMAN,KALA",1,subbing out,,millsapswbb,kala freeman,,765
68,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,68,12:41,"MISS LAYUP by JUDY,MICHELE",,,,,,,"MISS LAYUP by JUDY,MICHELE",1,layup,missed,Centre,michele judy,,761
69,21,millsaps,CENTREWBB,MILLSAPSWBB,47-51,47,51,"22, 25, 47","25, 26, 51",22,25,47,25,26,51,"9-12, 5-6","17-5, 9-2",02/15/15,Lose,200,No Location Recorded,12P,A,69,--,,,,,"REBOUND DEF by JOHNSON,VELVET",,,"REBOUND DEF by JOHNSON,VELVET",1,defensive rebound,,millsapswbb,velvet johnson,,
